# Séparation, actif, 45 (Up to date)
# 461 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.474e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.013
0.05,0.017,0.026
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.065,0.085
0.082,0.086,0.11
0.092,0.119,0.148
0.102,0.157,0.192
0.112,0.201,0.241
0.122,0.251,0.296
0.132,0.307,0.356
0.143,0.368,0.422
0.15,0.417,0.476
0.16,0.489,0.552
0.17,0.565,0.634
0.18,0.648,0.722
0.19,0.737,0.815
0.2,0.831,0.915
0.21,0.931,1.02
0.22,1.037,1.131
0.23,1.148,1.247
0.24,1.266,1.37
0.25,1.389,1.498
0.26,1.517,1.632
0.27,1.652,1.771
0.28,1.792,1.916
0.29,1.938,2.067
0.3,2.09,2.224
0.31,2.247,2.387
0.32,2.41,2.555
0.33,2.579,2.729
0.34,2.753,2.908
0.355,3.025,3.188
0.378,3.454,3.635
0.411,4.147,4.362
0.461,5.28,5.566
0.5,6.246,6.602
0.55,7.604,8.07
0.6,9.086,9.686
0.65,10.692,11.448
0.7,12.42,13.356
0.75,14.268,15.408
0.8,16.233,17.606
0.85,18.312,19.949
0.9,20.503,22.437
0.95,22.8,25.073
1,25.201,27.856
1.05,27.701,30.788
1.1,30.295,33.869
1.15,32.98,37.099
1.2,35.753,40.477
1.25,38.611,44.003
1.3,41.554,47.673
1.35,44.58,51.485
1.4,47.69,55.436
1.45,50.885,59.523
1.5,54.163,63.741
1.55,57.524,68.088
1.6,60.967,72.564
1.65,64.487,77.166
1.7,68.082,81.895
1.75,71.745,86.752
1.8,75.475,91.734
1.85,79.267,96.842
1.9,83.121,102.074
1.95,87.035,107.425
2,91.011,112.893
2.05,95.049,118.474
2.1,99.146,124.167
2.15,103.301,129.968
2.2,107.511,135.879
2.25,111.771,141.897
2.3,116.079,148.023
2.35,120.433,154.254
2.4,124.832,160.587
2.45,129.276,167.02
2.5,133.764,173.55
2.55,138.295,180.174
2.6,142.867,186.891
2.65,147.477,193.701
2.7,152.121,200.601
2.75,156.8,207.592
2.8,161.51,214.669
2.85,166.253,221.831
2.9,171.028,229.075
2.95,175.832,236.4
3,180.664,243.803
3.05,185.517,251.278
3.1,190.381,258.81
3.15,195.247,266.384
3.2,200.109,273.99
3.25,204.961,281.618
3.3,209.798,289.258
3.35,214.615,296.904
3.4,219.405,304.55
3.45,224.168,312.19
3.5,228.899,319.82
3.55,233.596,327.435
3.6,238.259,335.033
3.65,242.886,342.611
3.7,247.475,350.165
3.75,252.021,357.692
3.8,256.526,365.191
3.85,260.989,372.66
# Event BURNOUT occurred at t=3.9 seconds
3.9,265.41,380.101
3.95,269.789,387.511
4,274.127,394.891
4.05,278.422,402.242
4.1,282.676,409.564
4.15,286.889,416.857
4.2,291.061,424.121
4.25,295.192,431.358
4.3,299.283,438.566
4.35,303.334,445.746
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,307.345,452.899
4.45,311.306,460.007
4.5,315.208,467.051
4.55,319.051,474.034
4.6,322.837,480.957
4.65,326.566,487.82
4.7,330.239,494.625
4.75,333.856,501.373
4.8,337.42,508.065
4.85,340.93,514.703
4.9,344.387,521.287
4.95,347.793,527.818
5,351.147,534.297
5.05,354.45,540.726
5.1,357.703,547.105
5.15,360.907,553.434
5.2,364.062,559.716
5.25,367.169,565.95
5.3,370.229,572.138
5.35,373.242,578.281
5.4,376.208,584.378
5.45,379.129,590.432
5.5,382.004,596.442
5.55,384.835,602.409
5.6,387.621,608.335
5.65,390.364,614.219
5.7,393.063,620.063
5.75,395.719,625.867
5.8,398.333,631.632
5.85,400.906,637.358
5.9,403.437,643.046
5.95,405.926,648.697
6,408.375,654.31
6.05,410.784,659.888
6.1,413.154,665.429
6.15,415.483,670.936
6.2,417.774,676.408
6.25,420.026,681.845
6.3,422.24,687.249
6.35,424.415,692.62
6.4,426.553,697.958
6.45,428.654,703.263
6.5,430.718,708.537
6.55,432.745,713.78
6.6,434.736,718.991
6.65,436.691,724.173
6.7,438.61,729.324
6.75,440.493,734.445
6.8,442.342,739.537
6.85,444.156,744.601
6.9,445.935,749.636
6.95,447.68,754.642
7,449.39,759.621
7.05,451.067,764.573
7.1,452.711,769.498
7.15,454.321,774.396
7.2,455.898,779.267
7.25,457.443,784.113
7.3,458.955,788.933
7.35,460.434,793.728
7.4,461.881,798.497
7.45,463.297,803.242
7.5,464.681,807.962
7.55,466.033,812.659
7.6,467.354,817.331
7.65,468.644,821.98
7.7,469.904,826.605
7.75,471.132,831.208
7.8,472.331,835.787
7.85,473.498,840.344
7.9,474.636,844.879
7.95,475.744,849.392
8,476.822,853.883
8.05,477.871,858.353
8.1,478.89,862.802
8.15,479.881,867.229
8.2,480.842,871.636
8.25,481.774,876.022
8.3,482.677,880.387
8.35,483.552,884.733
8.4,484.399,889.058
8.45,485.217,893.364
8.5,486.008,897.65
8.55,486.77,901.917
8.6,487.504,906.165
8.65,488.211,910.394
8.7,488.891,914.604
8.75,489.543,918.796
8.8,490.168,922.969
8.85,490.765,927.125
8.9,491.336,931.262
8.95,491.88,935.381
9,492.397,939.482
9.05,492.888,943.567
9.1,493.352,947.633
9.15,493.79,951.683
9.2,494.201,955.715
9.25,494.587,959.731
9.3,494.946,963.73
9.35,495.28,967.713
9.4,495.588,971.679
9.45,495.87,975.628
9.5,496.127,979.562
9.55,496.358,983.48
9.6,496.564,987.382
9.65,496.745,991.268
9.7,496.901,995.138
9.75,497.032,998.993
9.8,497.137,1002.833
9.85,497.218,1006.658
9.9,497.275,1010.467
9.95,497.307,1014.262
# Event APOGEE occurred at t=10 seconds
10,497.314,1018.042
10.05,497.297,1021.807
10.1,497.255,1025.557
10.15,497.19,1029.293
10.2,497.1,1033.015
10.25,496.986,1036.722
10.3,496.848,1040.415
10.35,496.687,1044.094
10.4,496.501,1047.76
10.45,496.292,1051.411
10.5,496.059,1055.049
10.55,495.803,1058.673
10.6,495.524,1062.283
10.65,495.221,1065.88
10.7,494.895,1069.464
10.75,494.545,1073.034
10.8,494.173,1076.591
10.85,493.778,1080.136
10.9,493.359,1083.667
10.95,492.918,1087.185
11,492.454,1090.69
11.05,491.968,1094.183
11.1,491.458,1097.663
11.15,490.927,1101.13
11.2,490.372,1104.585
11.25,489.796,1108.027
11.3,489.197,1111.458
11.35,488.576,1114.875
11.4,487.932,1118.281
11.45,487.267,1121.674
11.5,486.58,1125.056
11.55,485.87,1128.425
11.6,485.139,1131.782
11.65,484.386,1135.128
11.7,483.611,1138.462
11.75,482.815,1141.784
11.8,481.997,1145.094
11.85,481.157,1148.393
11.9,480.297,1151.68
11.95,479.414,1154.956
12,478.511,1158.22
12.05,477.586,1161.473
12.1,476.64,1164.714
12.15,475.673,1167.945
12.2,474.685,1171.164
12.25,473.676,1174.372
12.3,472.646,1177.568
12.35,471.595,1180.754
12.4,470.523,1183.929
12.45,469.431,1187.093
12.5,468.318,1190.246
12.55,467.185,1193.388
12.6,466.031,1196.519
12.65,464.857,1199.639
12.7,463.662,1202.749
12.75,462.447,1205.848
12.8,461.211,1208.936
12.85,459.956,1212.014
12.9,458.68,1215.081
12.95,457.384,1218.138
13,456.069,1221.184
13.05,454.733,1224.22
13.1,453.377,1227.245
13.15,452.002,1230.26
13.2,450.607,1233.265
13.25,449.193,1236.259
13.3,447.758,1239.243
