# Séparation, actif, 80 (Up to date)
# 407 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (25,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.795e-4,2.702e-4
0.03,0.004,0.001
0.04,0.013,0.003
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.08,0.017
0.075,0.098,0.021
0.082,0.128,0.026
0.092,0.175,0.035
0.102,0.23,0.046
0.112,0.292,0.058
0.122,0.362,0.071
0.132,0.44,0.085
0.143,0.525,0.101
0.15,0.594,0.113
0.16,0.692,0.131
0.17,0.799,0.151
0.18,0.913,0.172
0.19,1.035,0.194
0.2,1.164,0.218
0.21,1.302,0.243
0.22,1.447,0.269
0.23,1.6,0.297
0.24,1.761,0.326
0.25,1.929,0.356
0.26,2.105,0.388
0.27,2.289,0.421
0.28,2.481,0.455
0.29,2.68,0.491
0.3,2.887,0.529
0.31,3.102,0.567
0.32,3.324,0.607
0.33,3.554,0.648
0.34,3.791,0.691
0.35,4.037,0.735
0.365,4.419,0.803
0.388,5.023,0.913
0.421,6.002,1.091
0.471,7.608,1.386
0.5,8.615,1.572
0.543,10.24,1.873
0.593,12.293,2.257
0.643,14.528,2.676
0.693,16.941,3.131
0.743,19.532,3.622
0.793,22.299,4.149
0.843,25.24,4.711
0.893,28.352,5.309
0.943,31.634,5.944
0.993,35.084,6.616
1,35.572,6.711
1.01,36.309,6.855
1.026,37.427,7.075
1.049,39.135,7.411
1.084,41.761,7.93
1.134,45.672,8.709
1.184,49.741,9.526
1.234,53.967,10.382
1.284,58.347,11.276
1.334,62.878,12.208
1.384,67.559,13.177
1.434,72.387,14.181
1.484,77.36,15.22
1.5,79.003,15.564
1.524,81.495,16.086
1.561,85.295,16.885
1.611,90.624,18.009
1.661,96.089,19.165
1.711,101.688,20.354
1.761,107.418,21.576
1.811,113.275,22.831
1.861,119.258,24.12
1.911,125.365,25.442
1.961,131.591,26.796
2,136.557,27.88
2.05,142.993,29.289
2.1,149.543,30.728
2.15,156.204,32.196
2.2,162.975,33.693
2.25,169.851,35.219
2.3,176.832,36.773
2.35,183.914,38.356
2.4,191.095,39.967
2.45,198.372,41.606
2.5,205.743,43.272
2.55,213.206,44.964
2.6,220.759,46.681
2.65,228.398,48.423
2.7,236.123,50.19
2.75,243.93,51.981
2.8,251.818,53.798
2.85,259.784,55.638
2.9,267.826,57.502
2.95,275.942,59.388
3,284.129,61.296
3.05,292.378,63.224
3.1,300.672,65.169
3.15,308.994,67.126
3.2,317.333,69.093
3.25,325.677,71.067
3.3,334.017,73.046
3.35,342.343,75.027
3.4,350.648,77.009
3.45,358.927,78.99
3.5,367.174,80.97
3.55,375.384,82.946
3.6,383.555,84.92
3.65,391.684,86.889
3.7,399.766,88.852
3.75,407.797,90.809
3.8,415.777,92.76
3.85,423.703,94.703
# Event BURNOUT occurred at t=3.9 seconds
3.9,431.577,96.64
3.95,439.398,98.569
4,447.165,100.492
4.05,454.879,102.407
4.1,462.542,104.315
4.15,470.152,106.217
4.2,477.711,108.111
4.25,485.219,109.999
4.3,492.676,111.881
4.35,500.083,113.756
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,507.44,115.624
4.45,514.73,117.482
4.5,521.938,119.325
4.55,529.065,121.153
4.6,536.112,122.968
4.65,543.081,124.768
4.7,549.972,126.555
4.75,556.788,128.328
4.8,563.529,130.088
4.85,570.196,131.836
4.9,576.79,133.57
4.95,583.314,135.293
5,589.767,137.003
5.05,596.151,138.701
5.1,602.466,140.388
5.15,608.714,142.063
5.2,614.896,143.727
5.25,621.013,145.38
5.3,627.065,147.022
5.35,633.053,148.654
5.4,638.979,150.275
5.45,644.842,151.885
5.5,650.645,153.486
5.55,656.387,155.077
5.6,662.069,156.657
5.65,667.693,158.229
5.7,673.258,159.791
5.75,678.767,161.343
5.8,684.218,162.887
5.85,689.614,164.421
5.9,694.954,165.947
5.95,700.24,167.464
6,705.471,168.973
6.05,710.649,170.473
6.1,715.775,171.965
6.15,720.848,173.449
6.2,725.869,174.925
6.25,730.839,176.393
6.3,735.759,177.854
6.35,740.629,179.306
6.4,745.449,180.752
6.45,750.221,182.19
6.5,754.944,183.62
6.55,759.619,185.044
6.6,764.247,186.46
6.65,768.827,187.87
6.7,773.361,189.273
6.75,777.849,190.669
6.8,782.292,192.058
6.85,786.689,193.441
6.9,791.041,194.818
6.95,795.35,196.188
7,799.614,197.552
7.05,803.834,198.91
7.1,808.012,200.262
7.15,812.147,201.608
7.2,816.239,202.948
7.25,820.289,204.282
7.3,824.298,205.61
7.35,828.265,206.933
7.4,832.192,208.251
7.45,836.077,209.563
7.5,839.923,210.869
7.55,843.729,212.171
7.6,847.494,213.467
7.65,851.221,214.758
7.7,854.909,216.044
7.75,858.557,217.324
7.8,862.168,218.6
7.85,865.74,219.872
7.9,869.275,221.138
7.95,872.771,222.399
8,876.231,223.656
8.05,879.654,224.909
8.1,883.04,226.156
8.15,886.389,227.4
8.2,889.702,228.639
8.25,892.979,229.873
8.3,896.22,231.104
8.35,899.426,232.33
8.4,902.597,233.552
8.45,905.733,234.769
8.5,908.833,235.983
8.55,911.9,237.193
8.6,914.931,238.399
8.65,917.929,239.601
8.7,920.893,240.799
8.75,923.823,241.993
8.8,926.719,243.184
8.85,929.582,244.371
8.9,932.413,245.554
8.95,935.21,246.733
9,937.974,247.91
9.05,940.706,249.082
9.1,943.405,250.251
9.15,946.073,251.417
9.2,948.708,252.58
9.25,951.311,253.739
9.3,953.883,254.895
9.35,956.423,256.047
9.4,958.932,257.197
9.45,961.41,258.343
9.5,963.856,259.487
9.55,966.272,260.627
9.6,968.657,261.764
9.65,971.012,262.898
9.7,973.336,264.03
9.75,975.63,265.158
9.8,977.893,266.284
9.85,980.127,267.406
9.9,982.331,268.526
9.95,984.505,269.644
10,986.65,270.758
10.05,988.765,271.87
10.1,990.851,272.979
10.15,992.907,274.086
10.2,994.935,275.19
10.25,996.933,276.292
10.3,998.903,277.391
10.35,1000.844,278.488
10.4,1002.756,279.582
10.45,1004.64,280.674
10.5,1006.496,281.763
10.55,1008.323,282.85
10.6,1010.122,283.935
10.65,1011.893,285.017
10.7,1013.636,286.098
10.75,1015.351,287.176
10.8,1017.039,288.252
10.85,1018.698,289.325
10.9,1020.331,290.397
10.95,1021.935,291.466
11,1023.513,292.534
11.05,1025.063,293.599
11.1,1026.585,294.662
11.15,1028.081,295.724
11.2,1029.55,296.783
11.25,1030.992,297.84
11.3,1032.407,298.896
11.35,1033.795,299.949
11.4,1035.156,301.001
11.45,1036.491,302.051
11.5,1037.799,303.099
11.55,1039.081,304.145
11.6,1040.336,305.189
11.65,1041.565,306.232
11.7,1042.768,307.272
11.75,1043.945,308.311
11.8,1045.095,309.349
11.85,1046.22,310.385
11.9,1047.318,311.419
11.95,1048.391,312.451
12,1049.438,313.482
12.05,1050.459,314.511
12.1,1051.454,315.538
12.15,1052.423,316.564
12.2,1053.367,317.589
12.25,1054.286,318.611
12.3,1055.179,319.633
12.35,1056.046,320.652
12.4,1056.889,321.671
12.45,1057.706,322.687
12.5,1058.497,323.703
12.55,1059.264,324.717
12.6,1060.005,325.729
12.65,1060.722,326.74
12.7,1061.413,327.749
12.75,1062.079,328.758
12.8,1062.72,329.764
12.85,1063.337,330.77
12.9,1063.929,331.774
12.95,1064.496,332.776
13,1065.038,333.778
