# Séparation, actif, 45 (Up to date)
# 496 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.474e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.013
0.05,0.017,0.026
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.065,0.085
0.082,0.086,0.11
0.092,0.119,0.148
0.102,0.157,0.192
0.112,0.201,0.241
0.122,0.251,0.296
0.132,0.307,0.356
0.143,0.368,0.422
0.15,0.417,0.476
0.16,0.489,0.552
0.17,0.565,0.634
0.18,0.648,0.722
0.19,0.737,0.815
0.2,0.831,0.915
0.21,0.931,1.02
0.22,1.037,1.131
0.23,1.148,1.247
0.24,1.266,1.37
0.25,1.389,1.498
0.26,1.517,1.632
0.27,1.652,1.771
0.28,1.792,1.916
0.29,1.938,2.067
0.3,2.09,2.224
0.31,2.247,2.387
0.32,2.41,2.555
0.33,2.579,2.729
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,2.753,2.908
0.355,3.025,3.188
0.378,3.454,3.635
0.411,4.147,4.362
0.461,5.28,5.566
0.5,6.246,6.602
0.55,7.604,8.07
0.6,9.086,9.686
0.65,10.692,11.448
0.7,12.42,13.356
0.75,14.268,15.408
0.8,16.233,17.606
0.85,18.312,19.949
0.9,20.503,22.437
0.95,22.8,25.073
1,25.201,27.856
1.05,27.701,30.788
1.1,30.295,33.869
1.15,32.98,37.099
1.2,35.753,40.477
1.25,38.611,44.003
1.3,41.554,47.673
1.35,44.58,51.485
1.4,47.69,55.436
1.45,50.885,59.523
1.5,54.163,63.741
1.55,57.524,68.088
1.6,60.967,72.564
1.65,64.487,77.166
1.7,68.082,81.895
1.75,71.745,86.752
1.8,75.475,91.734
1.85,79.267,96.842
1.9,83.121,102.074
1.95,87.035,107.425
2,91.011,112.893
2.05,95.049,118.474
2.1,99.146,124.167
2.15,103.301,129.968
2.2,107.511,135.879
2.25,111.771,141.897
2.3,116.079,148.023
2.35,120.433,154.254
2.4,124.832,160.587
2.45,129.276,167.02
2.5,133.764,173.55
2.55,138.295,180.174
2.6,142.867,186.891
2.65,147.477,193.701
2.7,152.121,200.601
2.75,156.8,207.592
2.8,161.51,214.669
2.85,166.253,221.831
2.9,171.028,229.075
2.95,175.832,236.4
3,180.664,243.803
3.05,185.517,251.278
3.1,190.381,258.81
3.15,195.247,266.384
3.2,200.109,273.99
3.25,204.961,281.618
3.3,209.798,289.258
3.35,214.615,296.904
3.4,219.405,304.55
3.45,224.168,312.19
3.5,228.899,319.82
3.55,233.596,327.435
3.6,238.259,335.033
3.65,242.886,342.611
3.7,247.475,350.165
3.75,252.021,357.692
3.8,256.526,365.191
3.85,260.989,372.66
# Event BURNOUT occurred at t=3.9 seconds
3.9,265.41,380.101
3.95,269.789,387.511
4,274.127,394.891
4.05,278.422,402.242
4.1,282.676,409.564
4.15,286.889,416.857
4.2,291.061,424.121
4.25,295.192,431.358
4.3,299.283,438.566
4.35,303.334,445.746
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,307.345,452.899
4.45,311.314,460.021
4.5,315.239,467.107
4.55,319.12,474.159
4.6,322.958,481.176
4.65,326.753,488.159
4.7,330.506,495.109
4.75,334.216,502.025
4.8,337.884,508.909
4.85,341.51,515.76
# Event IGNITION occurred at t=4.9 seconds
4.9,345.095,522.579
4.95,348.651,529.388
5,352.197,536.227
5.05,355.735,543.097
5.1,359.265,550
5.15,362.787,556.935
5.2,366.302,563.904
5.25,369.809,570.905
5.3,373.307,577.939
5.35,376.796,585.003
5.4,380.275,592.097
5.45,383.744,599.22
5.5,387.201,606.37
5.55,390.647,613.545
5.6,394.079,620.744
5.65,397.494,627.96
5.7,400.884,635.172
5.75,404.24,642.364
# Event BURNOUT occurred at t=5.773 seconds
5.773,405.771,645.664
5.808,408.052,650.599
5.858,411.323,657.723
5.908,414.555,664.813
5.958,417.746,671.87
6.008,420.899,678.893
6.058,424.012,685.884
6.108,427.087,692.842
6.158,430.123,699.769
6.208,433.121,706.664
6.258,436.081,713.527
6.308,439.003,720.36
6.358,441.887,727.162
6.408,444.735,733.935
6.458,447.545,740.677
6.508,450.319,747.389
6.558,453.056,754.073
6.608,455.757,760.727
6.658,458.422,767.353
6.708,461.052,773.95
6.758,463.645,780.52
6.808,466.204,787.062
6.858,468.727,793.576
6.908,471.215,800.063
6.958,473.668,806.524
7.008,476.087,812.957
7.058,478.472,819.365
7.108,480.823,825.746
7.158,483.139,832.102
7.208,485.422,838.432
7.258,487.672,844.736
7.308,489.888,851.016
7.358,492.071,857.271
7.408,494.221,863.501
7.458,496.338,869.707
7.507,498.423,875.889
7.557,500.475,882.047
7.607,502.495,888.182
7.657,504.482,894.293
7.707,506.438,900.381
7.757,508.362,906.445
7.807,510.254,912.487
7.857,512.115,918.507
7.907,513.945,924.504
7.957,515.743,930.479
8.007,517.511,936.432
8.058,519.247,942.364
8.108,520.953,948.273
8.158,522.628,954.162
8.208,524.273,960.029
8.258,525.887,965.875
8.308,527.472,971.7
8.358,529.026,977.505
8.408,530.551,983.289
8.458,532.045,989.053
8.508,533.51,994.797
8.558,534.946,1000.521
8.608,536.352,1006.225
8.658,537.729,1011.91
8.708,539.077,1017.575
8.758,540.396,1023.221
8.808,541.686,1028.847
8.858,542.947,1034.455
8.908,544.179,1040.044
8.958,545.383,1045.614
9.008,546.559,1051.165
9.058,547.706,1056.699
9.108,548.825,1062.213
9.158,549.916,1067.71
9.208,550.98,1073.189
9.258,552.015,1078.65
9.308,553.022,1084.094
9.358,554.002,1089.519
9.408,554.954,1094.928
9.458,555.879,1100.319
9.508,556.776,1105.693
9.558,557.647,1111.05
9.608,558.49,1116.39
9.658,559.306,1121.713
9.708,560.095,1127.019
9.758,560.857,1132.309
9.808,561.592,1137.583
9.858,562.301,1142.84
9.908,562.983,1148.081
9.958,563.639,1153.306
10.008,564.268,1158.515
10.058,564.871,1163.708
10.108,565.447,1168.885
10.158,565.998,1174.047
10.208,566.522,1179.193
10.258,567.021,1184.324
10.308,567.493,1189.439
10.358,567.94,1194.54
10.408,568.361,1199.625
10.458,568.756,1204.695
10.508,569.126,1209.75
10.558,569.47,1214.79
10.608,569.789,1219.815
10.658,570.082,1224.826
10.708,570.351,1229.822
10.758,570.594,1234.804
10.808,570.812,1239.771
10.858,571.005,1244.725
10.908,571.173,1249.663
10.958,571.316,1254.588
11.008,571.434,1259.499
11.058,571.527,1264.396
11.108,571.596,1269.279
11.158,571.641,1274.148
11.208,571.66,1279.003
# Event APOGEE occurred at t=11.258 seconds
11.258,571.656,1283.845
11.308,571.626,1288.673
11.358,571.573,1293.488
11.408,571.495,1298.29
11.458,571.393,1303.078
11.508,571.267,1307.852
11.558,571.117,1312.614
11.608,570.943,1317.363
11.658,570.745,1322.098
11.708,570.523,1326.821
11.758,570.277,1331.53
11.808,570.008,1336.227
11.858,569.715,1340.911
11.908,569.398,1345.583
11.958,569.058,1350.241
12.008,568.694,1354.887
12.058,568.307,1359.521
12.108,567.896,1364.142
12.158,567.462,1368.751
12.208,567.005,1373.348
12.258,566.525,1377.932
12.308,566.021,1382.504
12.358,565.495,1387.064
12.408,564.945,1391.612
12.458,564.373,1396.148
12.508,563.777,1400.672
12.558,563.159,1405.184
12.608,562.518,1409.684
12.658,561.854,1414.172
12.708,561.168,1418.649
12.758,560.459,1423.114
12.808,559.727,1427.567
12.858,558.973,1432.009
