# Séparation, actif, 80 (Up to date)
# 482 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (25,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.795e-4,2.702e-4
0.03,0.004,0.001
0.04,0.013,0.003
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.08,0.017
0.075,0.098,0.021
0.082,0.128,0.026
0.092,0.175,0.035
0.102,0.23,0.046
0.112,0.292,0.058
0.122,0.362,0.071
0.132,0.44,0.085
0.143,0.525,0.101
0.15,0.594,0.113
0.16,0.692,0.131
0.17,0.799,0.151
0.18,0.913,0.172
0.19,1.035,0.194
0.2,1.164,0.218
0.21,1.302,0.243
0.22,1.447,0.269
0.23,1.6,0.297
0.24,1.761,0.326
0.25,1.929,0.356
0.26,2.105,0.388
0.27,2.289,0.421
0.28,2.481,0.455
0.29,2.68,0.491
0.3,2.887,0.529
0.31,3.102,0.567
0.32,3.324,0.607
0.33,3.554,0.648
0.34,3.791,0.691
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,4.037,0.735
0.365,4.419,0.803
0.388,5.023,0.913
0.421,6.002,1.091
0.471,7.608,1.386
0.5,8.615,1.572
0.543,10.24,1.873
0.593,12.293,2.257
0.643,14.528,2.676
0.693,16.941,3.131
0.743,19.532,3.622
0.793,22.299,4.149
0.843,25.24,4.711
0.893,28.352,5.309
0.943,31.634,5.944
0.993,35.084,6.616
1,35.572,6.711
1.01,36.309,6.855
1.026,37.427,7.075
1.049,39.135,7.411
1.084,41.761,7.93
1.134,45.672,8.709
1.184,49.741,9.526
1.234,53.967,10.382
1.284,58.347,11.276
1.334,62.878,12.208
1.384,67.559,13.177
1.434,72.387,14.181
1.484,77.36,15.22
1.5,79.003,15.564
1.524,81.495,16.086
1.561,85.295,16.885
1.611,90.624,18.009
1.661,96.089,19.165
1.711,101.688,20.354
1.761,107.418,21.576
1.811,113.275,22.831
1.861,119.258,24.12
1.911,125.365,25.442
1.961,131.591,26.796
2,136.557,27.88
2.05,142.993,29.289
2.1,149.543,30.728
2.15,156.204,32.196
2.2,162.975,33.693
2.25,169.851,35.219
2.3,176.832,36.773
2.35,183.914,38.356
2.4,191.095,39.967
2.45,198.372,41.606
2.5,205.743,43.272
2.55,213.206,44.964
2.6,220.759,46.681
2.65,228.398,48.423
2.7,236.123,50.19
2.75,243.93,51.981
2.8,251.818,53.798
2.85,259.784,55.638
2.9,267.826,57.502
2.95,275.942,59.388
3,284.129,61.296
3.05,292.378,63.224
3.1,300.672,65.169
3.15,308.994,67.126
3.2,317.333,69.093
3.25,325.677,71.067
3.3,334.017,73.046
3.35,342.343,75.027
3.4,350.648,77.009
3.45,358.927,78.99
3.5,367.174,80.97
3.55,375.384,82.946
3.6,383.555,84.92
3.65,391.684,86.889
3.7,399.766,88.852
3.75,407.797,90.809
3.8,415.777,92.76
3.85,423.703,94.703
# Event BURNOUT occurred at t=3.9 seconds
3.9,431.577,96.64
3.95,439.398,98.569
4,447.165,100.492
4.05,454.879,102.407
4.1,462.542,104.315
4.15,470.152,106.217
4.2,477.711,108.111
4.25,485.219,109.999
4.3,492.676,111.881
4.35,500.083,113.756
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,507.44,115.624
4.45,514.743,117.485
4.5,521.99,119.338
4.55,529.18,121.183
4.6,536.314,123.019
4.65,543.393,124.848
4.7,550.418,126.669
4.75,557.388,128.482
4.8,564.304,130.287
4.85,571.167,132.085
# Event IGNITION occurred at t=4.9 seconds
4.9,577.977,133.876
4.95,584.757,135.665
5,591.553,137.464
5.05,598.365,139.274
5.1,605.195,141.096
5.15,612.042,142.929
5.2,618.909,144.774
5.25,625.793,146.63
5.3,632.694,148.497
5.35,639.612,150.375
5.4,646.544,152.264
5.45,653.491,154.163
5.5,660.449,156.072
5.55,667.418,157.991
5.6,674.396,159.92
5.65,681.374,161.855
5.7,688.332,163.791
5.75,695.252,165.723
# Event BURNOUT occurred at t=5.773 seconds
5.773,698.42,166.61
5.808,703.151,167.938
5.858,709.963,169.855
5.908,716.723,171.764
5.958,723.43,173.665
6.008,730.085,175.558
6.058,736.69,177.444
6.108,743.244,179.322
6.158,749.747,181.193
6.208,756.201,183.057
6.258,762.605,184.913
6.308,768.96,186.762
6.358,775.266,188.604
6.408,781.524,190.44
6.458,787.735,192.268
6.508,793.897,194.089
6.558,800.013,195.904
6.608,806.082,197.712
6.658,812.104,199.514
6.708,818.08,201.309
6.758,824.011,203.097
6.808,829.896,204.88
6.858,835.736,206.656
6.908,841.532,208.426
6.958,847.283,210.189
7.008,852.989,211.947
7.058,858.653,213.699
7.108,864.272,215.445
7.158,869.849,217.185
7.208,875.382,218.919
7.258,880.874,220.648
7.308,886.322,222.371
7.358,891.729,224.089
7.408,897.094,225.8
7.458,902.418,227.507
7.507,907.7,229.208
7.557,912.942,230.904
7.607,918.143,232.595
7.657,923.303,234.28
7.707,928.424,235.96
7.757,933.504,237.635
7.807,938.545,239.306
7.857,943.547,240.971
7.907,948.509,242.631
7.957,953.433,244.287
8.007,958.317,245.937
8.058,963.164,247.583
8.108,967.972,249.224
8.158,972.742,250.861
8.208,977.474,252.493
8.258,982.168,254.12
8.308,986.826,255.743
8.358,991.446,257.361
8.408,996.029,258.976
8.458,1000.575,260.585
8.508,1005.085,262.191
8.558,1009.559,263.792
8.608,1013.996,265.389
8.658,1018.397,266.982
8.708,1022.763,268.57
8.758,1027.093,270.155
8.808,1031.387,271.735
8.858,1035.646,273.312
8.908,1039.871,274.884
8.958,1044.06,276.453
9.008,1048.214,278.018
9.058,1052.334,279.579
9.108,1056.42,281.136
9.158,1060.471,282.69
9.208,1064.489,284.239
9.258,1068.472,285.786
9.308,1072.422,287.328
9.358,1076.338,288.867
9.408,1080.22,290.402
9.458,1084.07,291.934
9.508,1087.886,293.463
9.558,1091.669,294.987
9.608,1095.42,296.509
9.658,1099.137,298.027
9.708,1102.822,299.542
9.758,1106.475,301.053
9.808,1110.096,302.562
9.858,1113.684,304.067
9.908,1117.24,305.569
9.958,1120.764,307.067
10.008,1124.257,308.563
10.058,1127.718,310.055
10.108,1131.148,311.545
10.158,1134.546,313.031
10.208,1137.913,314.514
10.258,1141.248,315.995
10.308,1144.553,317.472
10.358,1147.827,318.947
10.408,1151.07,320.418
10.458,1154.282,321.887
10.508,1157.464,323.353
10.558,1160.615,324.816
10.608,1163.736,326.276
10.658,1166.827,327.734
10.708,1169.888,329.189
10.758,1172.918,330.641
10.808,1175.919,332.091
10.858,1178.89,333.538
10.908,1181.831,334.982
10.958,1184.743,336.424
11.008,1187.625,337.864
11.058,1190.478,339.3
11.108,1193.301,340.735
11.158,1196.095,342.167
11.208,1198.86,343.596
11.258,1201.596,345.023
11.308,1204.303,346.448
11.358,1206.981,347.87
11.408,1209.631,349.29
11.458,1212.251,350.707
11.508,1214.843,352.123
11.558,1217.407,353.536
11.608,1219.942,354.946
11.658,1222.449,356.355
11.708,1224.927,357.761
11.758,1227.378,359.165
11.808,1229.8,360.567
11.858,1232.194,361.967
11.908,1234.56,363.365
11.958,1236.898,364.761
12.008,1239.209,366.154
12.058,1241.492,367.546
12.108,1243.747,368.935
12.158,1245.974,370.323
12.208,1248.174,371.708
12.258,1250.347,373.092
12.308,1252.492,374.474
12.358,1254.609,375.853
12.408,1256.7,377.231
12.458,1258.763,378.607
