# Séparation, actif, 45 (Up to date)
# 466 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.402e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.012
0.05,0.017,0.025
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.064,0.085
0.082,0.085,0.109
0.092,0.118,0.147
0.102,0.156,0.19
0.112,0.2,0.239
0.122,0.249,0.294
0.132,0.304,0.354
0.143,0.365,0.42
0.15,0.414,0.473
0.16,0.485,0.548
0.17,0.561,0.63
0.18,0.643,0.717
0.19,0.731,0.81
0.2,0.825,0.908
0.21,0.924,1.013
0.22,1.029,1.123
0.23,1.14,1.239
0.24,1.256,1.36
0.25,1.378,1.487
0.26,1.506,1.62
0.27,1.64,1.759
0.28,1.779,1.903
0.29,1.924,2.053
0.3,2.074,2.209
0.31,2.23,2.37
0.32,2.392,2.537
0.33,2.56,2.709
0.34,2.733,2.887
0.35,2.912,3.071
0.365,3.19,3.358
0.388,3.628,3.814
0.421,4.335,4.555
0.471,5.487,5.778
0.5,6.207,6.548
0.543,7.364,7.795
0.593,8.82,9.378
0.643,10.4,11.106
0.693,12.101,12.978
0.743,13.92,14.994
0.793,15.857,17.154
0.843,17.908,19.458
0.893,20.07,21.907
0.943,22.339,24.501
0.993,24.712,27.241
1,25.046,27.63
1.01,25.55,28.217
1.026,26.315,29.111
1.049,27.479,30.477
1.084,29.263,32.586
1.134,31.904,35.742
1.184,34.633,39.045
1.234,37.447,42.495
1.284,40.345,46.09
1.334,43.327,49.826
1.384,46.391,53.702
1.434,49.539,57.713
1.484,52.771,61.857
1.5,53.836,63.228
1.524,55.451,65.31
1.561,57.908,68.49
1.611,61.347,72.958
1.661,64.862,77.553
1.711,68.449,82.273
1.761,72.106,87.12
1.811,75.826,92.092
1.861,79.609,97.188
1.911,83.453,102.406
1.961,87.357,107.743
2,90.461,112.009
2.05,94.473,117.549
2.1,98.546,123.2
2.15,102.675,128.96
2.2,106.86,134.827
2.25,111.095,140.803
2.3,115.377,146.884
2.35,119.705,153.071
2.4,124.077,159.359
2.45,128.494,165.747
2.5,132.955,172.232
2.55,137.459,178.81
2.6,142.003,185.481
2.65,146.586,192.243
2.7,151.203,199.097
2.75,155.853,206.04
2.8,160.536,213.069
2.85,165.251,220.184
2.9,169.997,227.38
2.95,174.773,234.657
3,179.576,242.011
3.05,184.401,249.437
3.1,189.237,256.92
3.15,194.074,264.446
3.2,198.908,272.003
3.25,203.732,279.583
3.3,208.542,287.176
3.35,213.33,294.775
3.4,218.093,302.373
3.45,222.829,309.967
3.5,227.533,317.551
3.55,232.204,325.12
3.6,236.841,332.673
3.65,241.442,340.206
3.7,246.005,347.716
3.75,250.527,355.2
3.8,255.007,362.656
3.85,259.445,370.083
# Event BURNOUT occurred at t=3.9 seconds
3.9,263.842,377.482
3.95,268.197,384.851
4,272.511,392.191
4.05,276.783,399.501
4.1,281.015,406.784
4.15,285.205,414.038
4.2,289.354,421.264
4.25,293.464,428.462
4.3,297.533,435.633
4.35,301.562,442.777
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,305.552,449.893
4.45,309.493,456.965
4.5,313.374,463.974
4.55,317.197,470.922
4.6,320.963,477.811
4.65,324.673,484.641
4.7,328.327,491.413
4.75,331.926,498.129
4.8,335.471,504.79
4.85,338.963,511.396
4.9,342.402,517.949
4.95,345.79,524.45
5,349.127,530.9
5.05,352.413,537.299
5.1,355.65,543.65
5.15,358.837,549.951
5.2,361.976,556.205
5.25,365.067,562.412
5.3,368.111,568.573
5.35,371.108,574.689
5.4,374.059,580.76
5.45,376.965,586.788
5.5,379.825,592.773
5.55,382.641,598.716
5.6,385.412,604.617
5.65,388.141,610.477
5.7,390.826,616.297
5.75,393.468,622.077
5.8,396.068,627.818
5.85,398.627,633.522
5.9,401.144,639.187
5.95,403.621,644.815
6,406.057,650.407
6.05,408.453,655.963
6.1,410.809,661.483
6.15,413.126,666.968
6.2,415.404,672.419
6.25,417.643,677.836
6.3,419.845,683.219
6.35,422.008,688.57
6.4,424.134,693.888
6.45,426.223,699.174
6.5,428.275,704.429
6.55,430.29,709.652
6.6,432.269,714.845
6.65,434.213,720.007
6.7,436.12,725.14
6.75,437.993,730.243
6.8,439.83,735.318
6.85,441.633,740.363
6.9,443.401,745.38
6.95,445.135,750.37
7,446.835,755.332
7.05,448.501,760.266
7.1,450.134,765.174
7.15,451.734,770.056
7.2,453.301,774.911
7.25,454.835,779.74
7.3,456.336,784.544
7.35,457.806,789.323
7.4,459.243,794.076
7.45,460.648,798.806
7.5,462.022,803.511
7.55,463.365,808.192
7.6,464.676,812.849
7.65,465.957,817.483
7.7,467.206,822.093
7.75,468.425,826.681
7.8,469.614,831.247
7.85,470.772,835.789
7.9,471.901,840.31
7.95,472.999,844.809
8,474.068,849.286
8.05,475.108,853.742
8.1,476.118,858.177
8.15,477.099,862.591
8.2,478.051,866.984
8.25,478.974,871.357
8.3,479.869,875.709
8.35,480.735,880.042
8.4,481.573,884.354
8.45,482.383,888.648
8.5,483.164,892.921
8.55,483.918,897.176
8.6,484.644,901.411
8.65,485.342,905.628
8.7,486.013,909.826
8.75,486.657,914.005
8.8,487.273,918.167
8.85,487.862,922.31
8.9,488.425,926.435
8.95,488.96,930.543
9,489.469,934.633
9.05,489.952,938.705
9.1,490.408,942.761
9.15,490.837,946.799
9.2,491.241,950.821
9.25,491.618,954.825
9.3,491.97,958.813
9.35,492.296,962.785
9.4,492.596,966.74
9.45,492.87,970.679
9.5,493.119,974.602
9.55,493.342,978.509
9.6,493.541,982.4
9.65,493.714,986.276
9.7,493.862,990.136
9.75,493.985,993.981
9.8,494.083,997.811
9.85,494.156,1001.625
9.9,494.205,1005.425
9.95,494.229,1009.209
# Event APOGEE occurred at t=10 seconds
10,494.229,1012.979
10.05,494.204,1016.735
10.1,494.155,1020.475
10.15,494.082,1024.202
10.2,493.985,1027.914
10.25,493.864,1031.612
10.3,493.719,1035.295
10.35,493.55,1038.965
10.4,493.357,1042.621
10.45,493.141,1046.263
10.5,492.901,1049.892
10.55,492.637,1053.507
10.6,492.351,1057.108
10.65,492.04,1060.696
10.7,491.707,1064.271
10.75,491.351,1067.832
10.8,490.971,1071.381
10.85,490.569,1074.916
10.9,490.143,1078.438
10.95,489.695,1081.948
11,489.224,1085.445
11.05,488.731,1088.929
11.1,488.214,1092.4
11.15,487.676,1095.859
11.2,487.114,1099.306
11.25,486.531,1102.74
11.3,485.925,1106.162
11.35,485.297,1109.571
11.4,484.647,1112.969
11.45,483.975,1116.354
11.5,483.28,1119.727
11.55,482.564,1123.089
11.6,481.826,1126.438
11.65,481.067,1129.776
11.7,480.285,1133.102
11.75,479.482,1136.416
11.8,478.657,1139.718
11.85,477.811,1143.009
11.9,476.944,1146.289
11.95,476.055,1149.557
12,475.145,1152.813
12.05,474.213,1156.059
12.1,473.261,1159.293
12.15,472.287,1162.516
12.2,471.292,1165.727
12.25,470.277,1168.928
12.3,469.24,1172.117
12.35,468.183,1175.295
12.4,467.105,1178.463
12.45,466.006,1181.619
12.5,464.887,1184.765
12.55,463.747,1187.9
12.6,462.587,1191.024
12.65,461.406,1194.137
12.7,460.205,1197.24
12.75,458.983,1200.332
12.8,457.742,1203.413
12.85,456.48,1206.484
12.9,455.198,1209.544
12.95,453.896,1212.594
13,452.574,1215.633
13.05,451.232,1218.662
