# Séparation, actif, 80 (Up to date)
# 406 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.695e-4,2.684e-4
0.03,0.004,0.001
0.04,0.012,0.003
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.079,0.017
0.075,0.097,0.02
0.082,0.127,0.026
0.092,0.174,0.035
0.102,0.228,0.046
0.112,0.29,0.057
0.122,0.359,0.07
0.132,0.436,0.084
0.143,0.521,0.1
0.15,0.589,0.113
0.16,0.687,0.131
0.17,0.793,0.15
0.18,0.906,0.171
0.19,1.027,0.193
0.2,1.155,0.216
0.21,1.292,0.241
0.22,1.436,0.267
0.23,1.588,0.294
0.24,1.747,0.323
0.25,1.915,0.353
0.26,2.089,0.385
0.27,2.272,0.418
0.28,2.462,0.452
0.29,2.66,0.488
0.3,2.865,0.525
0.31,3.078,0.563
0.32,3.299,0.603
0.33,3.527,0.644
0.34,3.763,0.686
0.35,4.006,0.729
0.365,4.385,0.798
0.388,4.986,0.906
0.421,5.957,1.083
0.471,7.551,1.375
0.5,8.55,1.56
0.543,10.163,1.86
0.593,12.201,2.241
0.643,14.419,2.657
0.693,16.814,3.109
0.743,19.386,3.596
0.793,22.132,4.119
0.843,25.051,4.678
0.893,28.14,5.272
0.943,31.397,5.902
0.993,34.822,6.57
1,35.305,6.664
1.01,36.037,6.808
1.026,37.147,7.026
1.049,38.842,7.359
1.084,41.449,7.875
1.134,45.33,8.649
1.184,49.369,9.461
1.234,53.564,10.311
1.284,57.911,11.199
1.334,62.409,12.125
1.384,67.055,13.087
1.434,71.847,14.085
1.484,76.783,15.118
1.5,78.413,15.46
1.524,80.887,15.979
1.561,84.659,16.773
1.611,89.949,17.89
1.661,95.374,19.039
1.711,100.931,20.221
1.761,106.618,21.435
1.811,112.433,22.683
1.861,118.373,23.964
1.911,124.434,25.278
1.961,130.616,26.624
2,135.545,27.702
2.05,141.934,29.104
2.1,148.437,30.534
2.15,155.05,31.994
2.2,161.771,33.483
2.25,168.599,35
2.3,175.529,36.545
2.35,182.561,38.12
2.4,189.69,39.722
2.45,196.916,41.352
2.5,204.235,43.009
2.55,211.645,44.692
2.6,219.145,46.4
2.65,226.731,48.133
2.7,234.401,49.891
2.75,242.154,51.674
2.8,249.987,53.481
2.85,257.898,55.312
2.9,265.885,57.166
2.95,273.945,59.043
3,282.076,60.942
3.05,290.268,62.861
3.1,298.506,64.796
3.15,306.773,66.744
3.2,315.055,68.702
3.25,323.344,70.667
3.3,331.628,72.637
3.35,339.899,74.609
3.4,348.149,76.582
3.45,356.374,78.554
3.5,364.567,80.525
3.55,372.724,82.494
3.6,380.842,84.459
3.65,388.918,86.42
3.7,396.949,88.375
3.75,404.929,90.324
3.8,412.858,92.267
3.85,420.735,94.202
# Event BURNOUT occurred at t=3.9 seconds
3.9,428.559,96.131
3.95,436.331,98.053
4,444.05,99.968
4.05,451.717,101.876
4.1,459.332,103.777
4.15,466.896,105.672
4.2,474.409,107.56
4.25,481.871,109.441
4.3,489.283,111.316
4.35,496.646,113.184
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,503.959,115.046
4.45,511.206,116.897
4.5,518.371,118.734
4.55,525.455,120.557
4.6,532.461,122.365
4.65,539.389,124.16
4.7,546.24,125.941
4.75,553.016,127.708
4.8,559.718,129.463
4.85,566.347,131.205
4.9,572.904,132.935
4.95,579.39,134.652
5,585.806,136.357
5.05,592.153,138.051
5.1,598.433,139.733
5.15,604.646,141.403
5.2,610.793,143.062
5.25,616.875,144.711
5.3,622.893,146.348
5.35,628.847,147.976
5.4,634.74,149.592
5.45,640.571,151.199
5.5,646.341,152.795
5.55,652.051,154.382
5.6,657.702,155.959
5.65,663.294,157.526
5.7,668.829,159.084
5.75,674.307,160.633
5.8,679.728,162.173
5.85,685.094,163.704
5.9,690.404,165.226
5.95,695.661,166.74
6,700.864,168.245
6.05,706.013,169.742
6.1,711.11,171.231
6.15,716.155,172.711
6.2,721.149,174.184
6.25,726.092,175.649
6.3,730.985,177.106
6.35,735.828,178.556
6.4,740.621,179.999
6.45,745.366,181.434
6.5,750.063,182.861
6.55,754.713,184.282
6.6,759.315,185.696
6.65,763.87,187.103
6.7,768.379,188.503
6.75,772.842,189.896
6.8,777.26,191.283
6.85,781.632,192.664
6.9,785.961,194.038
6.95,790.245,195.405
7,794.485,196.767
7.05,798.682,198.123
7.1,802.836,199.472
7.15,806.947,200.816
7.2,811.017,202.153
7.25,815.044,203.486
7.3,819.03,204.812
7.35,822.975,206.133
7.4,826.879,207.448
7.45,830.742,208.758
7.5,834.566,210.063
7.55,838.35,211.362
7.6,842.094,212.656
7.65,845.799,213.945
7.7,849.465,215.229
7.75,853.093,216.508
7.8,856.682,217.782
7.85,860.233,219.051
7.9,863.747,220.316
7.95,867.223,221.576
8,870.662,222.831
8.05,874.065,224.082
8.1,877.43,225.328
8.15,880.759,226.569
8.2,884.053,227.807
8.25,887.31,229.04
8.3,890.532,230.269
8.35,893.718,231.493
8.4,896.869,232.714
8.45,899.985,233.93
8.5,903.067,235.142
8.55,906.114,236.35
8.6,909.127,237.555
8.65,912.105,238.755
8.7,915.05,239.952
8.75,917.962,241.145
8.8,920.84,242.334
8.85,923.684,243.52
8.9,926.496,244.702
8.95,929.275,245.88
9,932.021,247.055
9.05,934.735,248.227
9.1,937.416,249.395
9.15,940.065,250.559
9.2,942.683,251.721
9.25,945.269,252.879
9.3,947.823,254.033
9.35,950.345,255.185
9.4,952.837,256.334
9.45,955.297,257.479
9.5,957.726,258.621
9.55,960.125,259.76
9.6,962.493,260.897
9.65,964.83,262.03
9.7,967.137,263.16
9.75,969.414,264.288
9.8,971.661,265.412
9.85,973.878,266.534
9.9,976.065,267.653
9.95,978.223,268.77
10,980.351,269.884
10.05,982.45,270.995
10.1,984.519,272.103
10.15,986.559,273.209
10.2,988.57,274.312
10.25,990.553,275.413
10.3,992.506,276.511
10.35,994.431,277.607
10.4,996.327,278.701
10.45,998.195,279.792
10.5,1000.035,280.881
10.55,1001.846,281.967
10.6,1003.63,283.051
10.65,1005.385,284.133
10.7,1007.112,285.212
10.75,1008.812,286.29
10.8,1010.483,287.365
10.85,1012.128,288.438
10.9,1013.744,289.509
10.95,1015.334,290.578
11,1016.896,291.645
11.05,1018.43,292.71
11.1,1019.938,293.772
11.15,1021.418,294.833
11.2,1022.872,295.892
11.25,1024.298,296.949
11.3,1025.698,298.004
11.35,1027.071,299.057
11.4,1028.418,300.108
11.45,1029.737,301.157
11.5,1031.031,302.205
11.55,1032.297,303.25
11.6,1033.538,304.294
11.65,1034.752,305.336
11.7,1035.94,306.377
11.75,1037.102,307.415
11.8,1038.238,308.452
11.85,1039.348,309.488
11.9,1040.431,310.521
11.95,1041.489,311.553
12,1042.522,312.584
12.05,1043.528,313.612
12.1,1044.509,314.639
12.15,1045.464,315.665
12.2,1046.393,316.689
12.25,1047.297,317.712
12.3,1048.176,318.732
12.35,1049.029,319.752
12.4,1049.857,320.77
12.45,1050.66,321.786
12.5,1051.437,322.801
12.55,1052.19,323.815
12.6,1052.917,324.827
12.65,1053.619,325.838
12.7,1054.296,326.847
12.75,1054.948,327.855
12.8,1055.575,328.861
12.85,1056.178,329.866
12.9,1056.756,330.87
12.95,1057.309,331.872
13,1057.837,332.874
