# Séparation, actif, 45 (Up to date)
# 517 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.402e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.012
0.05,0.017,0.025
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.064,0.085
0.082,0.085,0.109
0.092,0.118,0.147
0.102,0.156,0.19
0.112,0.2,0.239
0.122,0.249,0.294
0.132,0.304,0.354
0.143,0.365,0.42
0.15,0.414,0.473
0.16,0.485,0.548
0.17,0.561,0.63
0.18,0.643,0.717
0.19,0.731,0.81
0.2,0.825,0.908
0.21,0.924,1.013
0.22,1.029,1.123
0.23,1.14,1.239
0.24,1.256,1.36
0.25,1.378,1.487
0.26,1.506,1.62
0.27,1.64,1.759
0.28,1.779,1.903
0.29,1.924,2.053
0.3,2.074,2.209
0.31,2.23,2.37
0.32,2.392,2.537
0.33,2.56,2.709
0.34,2.733,2.887
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,2.912,3.071
0.365,3.19,3.358
0.388,3.628,3.814
0.421,4.335,4.555
0.471,5.487,5.778
0.5,6.207,6.548
0.543,7.364,7.795
0.593,8.82,9.378
0.643,10.4,11.106
0.693,12.101,12.978
0.743,13.92,14.994
0.793,15.857,17.154
0.843,17.908,19.458
0.893,20.07,21.907
0.943,22.339,24.501
0.993,24.712,27.241
1,25.046,27.63
1.01,25.55,28.217
1.026,26.315,29.111
1.049,27.479,30.477
1.084,29.263,32.586
1.134,31.904,35.742
1.184,34.633,39.045
1.234,37.447,42.495
1.284,40.345,46.09
1.334,43.327,49.826
1.384,46.391,53.702
1.434,49.539,57.713
1.484,52.771,61.857
1.5,53.836,63.228
1.524,55.451,65.31
1.561,57.908,68.49
1.611,61.347,72.958
1.661,64.862,77.553
1.711,68.449,82.273
1.761,72.106,87.12
1.811,75.826,92.092
1.861,79.609,97.188
1.911,83.453,102.406
1.961,87.357,107.743
2,90.461,112.009
2.05,94.473,117.549
2.1,98.546,123.2
2.15,102.675,128.96
2.2,106.86,134.827
2.25,111.095,140.803
2.3,115.377,146.884
2.35,119.705,153.071
2.4,124.077,159.359
2.45,128.494,165.747
2.5,132.955,172.232
2.55,137.459,178.81
2.6,142.003,185.481
2.65,146.586,192.243
2.7,151.203,199.097
2.75,155.853,206.04
2.8,160.536,213.069
2.85,165.251,220.184
2.9,169.997,227.38
2.95,174.773,234.657
3,179.576,242.011
3.05,184.401,249.437
3.1,189.237,256.92
3.15,194.074,264.446
3.2,198.908,272.003
3.25,203.732,279.583
3.3,208.542,287.176
3.35,213.33,294.775
3.4,218.093,302.373
3.45,222.829,309.967
3.5,227.533,317.551
3.55,232.204,325.12
3.6,236.841,332.673
3.65,241.442,340.206
3.7,246.005,347.716
3.75,250.527,355.2
3.8,255.007,362.656
3.85,259.445,370.083
# Event BURNOUT occurred at t=3.9 seconds
3.9,263.842,377.482
3.95,268.197,384.851
4,272.511,392.191
4.05,276.783,399.501
4.1,281.015,406.784
4.15,285.205,414.038
4.2,289.354,421.264
4.25,293.464,428.462
4.3,297.533,435.633
4.35,301.562,442.777
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,305.552,449.893
4.45,309.501,456.979
4.5,313.406,464.031
4.55,317.267,471.049
4.6,321.086,478.033
4.65,324.863,484.984
4.7,328.597,491.903
4.75,332.29,498.789
4.8,335.941,505.644
4.85,339.55,512.467
# Event IGNITION occurred at t=4.9 seconds
4.9,343.119,519.259
4.95,346.673,526.069
5,350.258,532.986
5.05,353.868,539.999
5.1,357.502,547.106
5.15,361.158,554.303
5.2,364.833,561.588
5.25,368.526,568.957
5.3,372.234,576.405
5.35,375.957,583.932
5.4,379.691,591.532
5.45,383.436,599.203
5.5,387.189,606.942
5.55,390.948,614.744
5.6,394.71,622.604
5.65,398.467,630.503
5.7,402.208,638.42
5.75,405.924,646.337
5.8,409.61,654.241
5.85,413.26,662.122
5.9,416.872,669.971
5.95,420.443,677.785
# Event BURNOUT occurred at t=5.999 seconds
5.999,423.901,685.406
6.049,427.389,693.143
6.099,430.834,700.84
6.149,434.237,708.498
6.199,437.599,716.117
6.249,440.919,723.699
6.299,444.198,731.242
6.349,447.437,738.748
6.399,450.636,746.217
6.449,453.794,753.65
6.499,456.913,761.047
6.549,459.992,768.408
6.599,463.033,775.735
6.649,466.034,783.026
6.699,468.997,790.283
6.749,471.922,797.507
6.799,474.809,804.697
6.849,477.658,811.853
6.899,480.469,818.977
6.949,483.244,826.069
6.999,485.981,833.128
7.049,488.682,840.156
7.099,491.346,847.152
7.149,493.974,854.117
7.199,496.566,861.052
7.249,499.123,867.956
7.299,501.644,874.831
7.349,504.129,881.675
7.399,506.58,888.491
7.449,508.995,895.277
7.499,511.376,902.034
7.549,513.723,908.763
7.599,516.035,915.463
7.649,518.313,922.136
7.699,520.557,928.781
7.749,522.768,935.399
7.799,524.945,941.989
7.849,527.089,948.553
7.899,529.2,955.091
7.949,531.278,961.602
7.999,533.324,968.086
8.049,535.336,974.546
8.099,537.317,980.979
8.149,539.265,987.388
8.199,541.181,993.771
8.249,543.066,1000.129
8.299,544.918,1006.463
8.349,546.739,1012.773
8.399,548.529,1019.058
8.449,550.288,1025.319
8.499,552.015,1031.557
8.549,553.712,1037.771
8.599,555.377,1043.962
8.649,557.012,1050.13
8.699,558.617,1056.276
8.749,560.191,1062.398
8.799,561.736,1068.498
8.849,563.25,1074.576
8.899,564.734,1080.631
8.949,566.189,1086.665
8.999,567.613,1092.677
9.049,569.009,1098.668
9.099,570.375,1104.637
9.149,571.711,1110.585
9.199,573.019,1116.512
9.249,574.297,1122.419
9.299,575.547,1128.305
9.349,576.768,1134.17
9.399,577.96,1140.015
9.449,579.124,1145.84
9.499,580.26,1151.645
9.549,581.367,1157.43
9.599,582.446,1163.196
9.649,583.497,1168.942
9.699,584.52,1174.668
9.749,585.515,1180.376
9.799,586.482,1186.064
9.849,587.422,1191.734
9.899,588.334,1197.385
9.949,589.219,1203.017
9.999,590.077,1208.631
10.049,590.907,1214.226
10.099,591.71,1219.804
10.149,592.486,1225.363
10.199,593.236,1230.904
10.249,593.958,1236.428
10.299,594.654,1241.934
10.349,595.323,1247.422
10.399,595.966,1252.893
10.449,596.582,1258.347
10.499,597.172,1263.783
10.549,597.735,1269.203
10.599,598.273,1274.605
10.649,598.784,1279.991
10.699,599.269,1285.36
10.749,599.729,1290.713
10.799,600.162,1296.049
10.849,600.57,1301.368
10.899,600.952,1306.672
10.949,601.309,1311.959
10.999,601.64,1317.23
11.049,601.946,1322.486
11.099,602.226,1327.725
11.149,602.481,1332.949
11.199,602.711,1338.157
11.249,602.916,1343.35
11.299,603.096,1348.527
11.349,603.251,1353.689
11.399,603.381,1358.836
11.449,603.486,1363.967
11.499,603.567,1369.084
11.549,603.623,1374.185
11.599,603.654,1379.272
# Event APOGEE occurred at t=11.649 seconds
11.649,603.661,1384.344
11.699,603.643,1389.401
11.749,603.601,1394.444
11.799,603.535,1399.472
11.849,603.445,1404.486
11.899,603.33,1409.485
11.949,603.191,1414.471
11.999,603.028,1419.442
12.049,602.842,1424.398
12.099,602.631,1429.341
12.149,602.397,1434.27
12.199,602.139,1439.185
12.249,601.857,1444.086
12.299,601.551,1448.974
12.349,601.222,1453.848
12.399,600.87,1458.708
12.449,600.494,1463.555
12.499,600.095,1468.388
12.549,599.672,1473.208
