# Séparation, actif, 80 (Up to date)
# 504 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (26,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.695e-4,2.684e-4
0.03,0.004,0.001
0.04,0.012,0.003
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.079,0.017
0.075,0.097,0.02
0.082,0.127,0.026
0.092,0.174,0.035
0.102,0.228,0.046
0.112,0.29,0.057
0.122,0.359,0.07
0.132,0.436,0.084
0.143,0.521,0.1
0.15,0.589,0.113
0.16,0.687,0.131
0.17,0.793,0.15
0.18,0.906,0.171
0.19,1.027,0.193
0.2,1.155,0.216
0.21,1.292,0.241
0.22,1.436,0.267
0.23,1.588,0.294
0.24,1.747,0.323
0.25,1.915,0.353
0.26,2.089,0.385
0.27,2.272,0.418
0.28,2.462,0.452
0.29,2.66,0.488
0.3,2.865,0.525
0.31,3.078,0.563
0.32,3.299,0.603
0.33,3.527,0.644
0.34,3.763,0.686
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,4.006,0.729
0.365,4.385,0.798
0.388,4.986,0.906
0.421,5.957,1.083
0.471,7.551,1.375
0.5,8.55,1.56
0.543,10.163,1.86
0.593,12.201,2.241
0.643,14.419,2.657
0.693,16.814,3.109
0.743,19.386,3.596
0.793,22.132,4.119
0.843,25.051,4.678
0.893,28.14,5.272
0.943,31.397,5.902
0.993,34.822,6.57
1,35.305,6.664
1.01,36.037,6.808
1.026,37.147,7.026
1.049,38.842,7.359
1.084,41.449,7.875
1.134,45.33,8.649
1.184,49.369,9.461
1.234,53.564,10.311
1.284,57.911,11.199
1.334,62.409,12.125
1.384,67.055,13.087
1.434,71.847,14.085
1.484,76.783,15.118
1.5,78.413,15.46
1.524,80.887,15.979
1.561,84.659,16.773
1.611,89.949,17.89
1.661,95.374,19.039
1.711,100.931,20.221
1.761,106.618,21.435
1.811,112.433,22.683
1.861,118.373,23.964
1.911,124.434,25.278
1.961,130.616,26.624
2,135.545,27.702
2.05,141.934,29.104
2.1,148.437,30.534
2.15,155.05,31.994
2.2,161.771,33.483
2.25,168.599,35
2.3,175.529,36.545
2.35,182.561,38.12
2.4,189.69,39.722
2.45,196.916,41.352
2.5,204.235,43.009
2.55,211.645,44.692
2.6,219.145,46.4
2.65,226.731,48.133
2.7,234.401,49.891
2.75,242.154,51.674
2.8,249.987,53.481
2.85,257.898,55.312
2.9,265.885,57.166
2.95,273.945,59.043
3,282.076,60.942
3.05,290.268,62.861
3.1,298.506,64.796
3.15,306.773,66.744
3.2,315.055,68.702
3.25,323.344,70.667
3.3,331.628,72.637
3.35,339.899,74.609
3.4,348.149,76.582
3.45,356.374,78.554
3.5,364.567,80.525
3.55,372.724,82.494
3.6,380.842,84.459
3.65,388.918,86.42
3.7,396.949,88.375
3.75,404.929,90.324
3.8,412.858,92.267
3.85,420.735,94.202
# Event BURNOUT occurred at t=3.9 seconds
3.9,428.559,96.131
3.95,436.331,98.053
4,444.05,99.968
4.05,451.717,101.876
4.1,459.332,103.777
4.15,466.896,105.672
4.2,474.409,107.56
4.25,481.871,109.441
4.3,489.283,111.316
4.35,496.646,113.184
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,503.959,115.046
4.45,511.219,116.901
4.5,518.423,118.748
4.55,525.572,120.586
4.6,532.666,122.417
4.65,539.705,124.241
4.7,546.691,126.056
4.75,553.623,127.864
4.8,560.502,129.665
4.85,567.329,131.458
# Event IGNITION occurred at t=4.9 seconds
4.9,574.103,133.244
4.95,580.88,135.037
5,587.755,136.862
5.05,594.717,138.718
5.1,601.764,140.602
5.15,608.891,142.515
5.2,616.096,144.454
5.25,623.374,146.421
5.3,630.722,148.413
5.35,638.136,150.429
5.4,645.614,152.47
5.45,653.152,154.533
5.5,660.746,156.619
5.55,668.392,158.726
5.6,676.083,160.851
5.65,683.8,162.991
5.7,691.522,165.139
5.75,699.227,167.289
5.8,706.903,169.438
5.85,714.538,171.583
5.9,722.125,173.72
5.95,729.659,175.85
# Event BURNOUT occurred at t=5.999 seconds
5.999,736.987,177.928
6.049,744.408,180.039
6.099,751.771,182.141
6.149,759.078,184.233
6.199,766.327,186.316
6.249,773.521,188.39
6.299,780.66,190.456
6.349,787.743,192.512
6.399,794.772,194.56
6.449,801.747,196.599
6.499,808.669,198.629
6.549,815.538,200.652
6.599,822.354,202.665
6.649,829.118,204.671
6.699,835.83,206.669
6.749,842.492,208.659
6.799,849.102,210.641
6.849,855.663,212.615
6.899,862.173,214.581
6.949,868.634,216.54
6.999,875.046,218.491
7.049,881.409,220.436
7.099,887.724,222.372
7.149,893.991,224.302
7.199,900.211,226.224
7.249,906.383,228.14
7.299,912.509,230.048
7.349,918.588,231.949
7.399,924.621,233.844
7.449,930.608,235.732
7.499,936.55,237.614
7.549,942.446,239.489
7.599,948.298,241.357
7.649,954.106,243.219
7.699,959.869,245.075
7.749,965.588,246.924
7.799,971.264,248.767
7.849,976.897,250.605
7.899,982.487,252.436
7.949,988.034,254.261
7.999,993.539,256.08
8.049,999.002,257.894
8.099,1004.423,259.701
8.149,1009.803,261.503
8.199,1015.141,263.3
8.249,1020.439,265.09
8.299,1025.695,266.876
8.349,1030.912,268.655
8.399,1036.088,270.43
8.449,1041.224,272.199
8.499,1046.32,273.963
8.549,1051.377,275.721
8.599,1056.394,277.475
8.649,1061.373,279.223
8.699,1066.313,280.966
8.749,1071.214,282.705
8.799,1076.077,284.438
8.849,1080.902,286.167
8.899,1085.689,287.89
8.949,1090.439,289.609
8.999,1095.151,291.323
9.049,1099.825,293.033
9.099,1104.463,294.738
9.149,1109.064,296.438
9.199,1113.628,298.134
9.249,1118.155,299.825
9.299,1122.647,301.512
9.349,1127.102,303.194
9.399,1131.521,304.873
9.449,1135.905,306.546
9.499,1140.253,308.216
9.549,1144.566,309.881
9.599,1148.844,311.543
9.649,1153.086,313.2
9.699,1157.294,314.853
9.749,1161.468,316.502
9.799,1165.606,318.147
9.849,1169.711,319.788
9.899,1173.781,321.425
9.949,1177.817,323.059
9.999,1181.82,324.688
10.049,1185.788,326.314
10.099,1189.724,327.936
10.149,1193.625,329.554
10.199,1197.494,331.169
10.249,1201.329,332.78
10.299,1205.132,334.388
10.349,1208.902,335.991
10.399,1212.639,337.592
10.449,1216.343,339.189
10.499,1220.016,340.782
10.549,1223.656,342.372
10.599,1227.263,343.959
10.649,1230.839,345.542
10.699,1234.383,347.122
10.749,1237.895,348.699
10.799,1241.376,350.273
10.849,1244.825,351.843
10.899,1248.243,353.41
10.949,1251.63,354.974
10.999,1254.985,356.535
11.049,1258.309,358.093
11.099,1261.603,359.648
11.149,1264.866,361.199
11.199,1268.098,362.748
11.249,1271.3,364.294
11.299,1274.471,365.837
11.349,1277.612,367.377
11.399,1280.722,368.914
11.449,1283.803,370.449
11.499,1286.853,371.98
11.549,1289.874,373.509
11.599,1292.865,375.035
11.649,1295.826,376.558
11.699,1298.757,378.079
11.749,1301.659,379.597
11.799,1304.532,381.112
11.849,1307.375,382.625
11.899,1310.189,384.135
11.949,1312.974,385.642
11.999,1315.729,387.147
12.049,1318.456,388.65
12.099,1321.154,390.15
12.149,1323.823,391.647
12.199,1326.464,393.143
12.249,1329.076,394.635
12.299,1331.659,396.126
12.349,1334.214,397.614
12.399,1336.74,399.099
12.449,1339.239,400.583
12.499,1341.709,402.064
