# Séparation, actif, 45 (Up to date)
# 457 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.084e-4,0.001
0.03,0.002,0.005
0.04,0.007,0.012
0.05,0.016,0.025
0.06,0.03,0.043
0.07,0.05,0.068
0.075,0.062,0.082
0.082,0.082,0.106
0.092,0.113,0.143
0.102,0.15,0.185
0.112,0.193,0.232
0.122,0.24,0.285
0.132,0.293,0.343
0.143,0.352,0.407
0.15,0.4,0.458
0.16,0.468,0.532
0.17,0.542,0.611
0.18,0.621,0.695
0.19,0.706,0.785
0.2,0.797,0.881
0.21,0.893,0.982
0.22,0.994,1.088
0.23,1.101,1.2
0.24,1.214,1.318
0.25,1.332,1.441
0.26,1.456,1.57
0.27,1.585,1.704
0.28,1.72,1.844
0.29,1.86,1.989
0.3,2.006,2.14
0.31,2.157,2.296
0.32,2.313,2.458
0.33,2.476,2.625
0.34,2.643,2.798
0.35,2.816,2.976
0.365,3.085,3.253
0.388,3.51,3.695
0.421,4.193,4.413
0.471,5.307,5.598
0.5,6.003,6.345
0.543,7.122,7.554
0.593,8.53,9.088
0.643,10.056,10.764
0.693,11.699,12.58
0.743,13.456,14.537
0.793,15.326,16.634
0.843,17.305,18.871
0.893,19.39,21.25
0.943,21.577,23.772
0.993,23.862,26.436
1,24.184,26.814
1.01,24.67,27.385
1.026,25.406,28.254
1.049,26.526,29.584
1.084,28.243,31.636
1.134,30.784,34.707
1.184,33.408,37.923
1.234,36.115,41.281
1.284,38.902,44.78
1.334,41.771,48.416
1.384,44.72,52.187
1.434,47.751,56.089
1.484,50.863,60.12
1.5,51.889,61.454
1.524,53.444,63.48
1.561,55.81,66.574
1.611,59.119,70.923
1.661,62.5,75.397
1.711,65.948,79.996
1.761,69.46,84.72
1.811,73.033,89.567
1.861,76.665,94.535
1.911,80.358,99.622
1.961,84.11,104.823
2,87.094,108.98
2.05,90.953,114.38
2.1,94.868,119.888
2.15,98.836,125.505
2.2,102.854,131.23
2.25,106.918,137.061
2.3,111.028,142.998
2.35,115.182,149.036
2.4,119.381,155.174
2.45,123.624,161.409
2.5,127.91,167.738
2.55,132.235,174.161
2.6,136.597,180.677
2.65,140.993,187.285
2.7,145.423,193.983
2.75,149.886,200.768
2.8,154.382,207.638
2.85,158.909,214.592
2.9,163.465,221.627
2.95,168.049,228.742
3,172.656,235.937
3.05,177.284,243.202
3.1,181.924,250.525
3.15,186.567,257.889
3.2,191.206,265.285
3.25,195.836,272.706
3.3,200.451,280.142
3.35,205.044,287.585
3.4,209.614,295.03
3.45,214.158,302.471
3.5,218.673,309.903
3.55,223.157,317.324
3.6,227.606,324.73
3.65,232.021,332.119
3.7,236.398,339.487
3.75,240.737,346.831
3.8,245.037,354.149
3.85,249.296,361.44
# Event BURNOUT occurred at t=3.9 seconds
3.9,253.516,368.705
3.95,257.695,375.942
4,261.834,383.153
4.05,265.934,390.337
4.1,269.993,397.494
4.15,274.014,404.625
4.2,277.996,411.73
4.25,281.939,418.809
4.3,285.843,425.863
4.35,289.708,432.891
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,293.536,439.895
4.45,297.316,446.856
4.5,301.039,453.758
4.55,304.707,460.602
4.6,308.321,467.39
4.65,311.88,474.122
4.7,315.386,480.799
4.75,318.84,487.424
4.8,322.242,493.995
4.85,325.593,500.515
4.9,328.893,506.984
4.95,332.144,513.404
5,335.346,519.775
5.05,338.499,526.098
5.1,341.605,532.374
5.15,344.663,538.603
5.2,347.674,544.787
5.25,350.64,550.926
5.3,353.56,557.022
5.35,356.434,563.074
5.4,359.264,569.083
5.45,362.05,575.051
5.5,364.793,580.978
5.55,367.492,586.864
5.6,370.149,592.71
5.65,372.763,598.517
5.7,375.336,604.285
5.75,377.868,610.016
5.8,380.358,615.709
5.85,382.808,621.365
5.9,385.218,626.985
5.95,387.588,632.569
6,389.919,638.118
6.05,392.211,643.632
6.1,394.465,649.112
6.15,396.68,654.559
6.2,398.858,659.972
6.25,400.997,665.352
6.3,403.1,670.701
6.35,405.166,676.017
6.4,407.195,681.302
6.45,409.188,686.556
6.5,411.145,691.78
6.55,413.066,696.973
6.6,414.952,702.137
6.65,416.803,707.272
6.7,418.619,712.377
6.75,420.401,717.455
6.8,422.148,722.504
6.85,423.862,727.525
6.9,425.541,732.519
6.95,427.187,737.485
7,428.8,742.426
7.05,430.38,747.339
7.1,431.928,752.227
7.15,433.442,757.089
7.2,434.925,761.925
7.25,436.375,766.736
7.3,437.793,771.523
7.35,439.18,776.285
7.4,440.536,781.023
7.45,441.86,785.737
7.5,443.153,790.427
7.55,444.415,795.094
7.6,445.647,799.738
7.65,446.848,804.359
7.7,448.02,808.957
7.75,449.161,813.533
7.8,450.272,818.088
7.85,451.353,822.62
7.9,452.405,827.13
7.95,453.428,831.62
8,454.421,836.088
8.05,455.385,840.535
8.1,456.321,844.962
8.15,457.228,849.368
8.2,458.106,853.754
8.25,458.956,858.12
8.3,459.777,862.467
8.35,460.571,866.793
8.4,461.337,871.101
8.45,462.074,875.389
8.5,462.785,879.658
8.55,463.467,883.908
8.6,464.123,888.14
8.65,464.751,892.353
8.7,465.352,896.548
8.75,465.926,900.724
8.8,466.473,904.883
8.85,466.994,909.025
8.9,467.487,913.148
8.95,467.955,917.254
9,468.396,921.343
9.05,468.811,925.415
9.1,469.2,929.47
9.15,469.562,933.508
9.2,469.899,937.529
9.25,470.211,941.534
9.3,470.496,945.523
9.35,470.756,949.495
9.4,470.991,953.452
9.45,471.2,957.392
9.5,471.384,961.317
9.55,471.543,965.226
9.6,471.677,969.12
9.65,471.786,972.998
9.7,471.87,976.86
9.75,471.929,980.708
9.8,471.964,984.541
# Event APOGEE occurred at t=9.85 seconds
9.85,471.975,988.359
9.9,471.961,992.162
9.95,471.922,995.95
10,471.86,999.724
10.05,471.773,1003.483
10.1,471.662,1007.228
10.15,471.527,1010.959
10.2,471.369,1014.675
10.25,471.186,1018.378
10.3,470.98,1022.067
10.35,470.751,1025.741
10.4,470.497,1029.403
10.45,470.221,1033.05
10.5,469.921,1036.684
10.55,469.597,1040.305
10.6,469.251,1043.912
10.65,468.881,1047.506
10.7,468.489,1051.087
10.75,468.073,1054.654
10.8,467.635,1058.209
10.85,467.174,1061.751
10.9,466.69,1065.28
10.95,466.183,1068.796
11,465.654,1072.3
11.05,465.103,1075.791
11.1,464.529,1079.27
11.15,463.933,1082.736
11.2,463.314,1086.19
11.25,462.673,1089.631
11.3,462.01,1093.06
11.35,461.326,1096.478
11.4,460.619,1099.883
11.45,459.89,1103.276
11.5,459.14,1106.657
11.55,458.367,1110.026
11.6,457.573,1113.383
11.65,456.758,1116.729
11.7,455.921,1120.063
11.75,455.062,1123.386
11.8,454.182,1126.696
11.85,453.281,1129.996
11.9,452.358,1133.284
11.95,451.415,1136.56
12,450.45,1139.825
12.05,449.464,1143.079
12.1,448.457,1146.322
12.15,447.429,1149.554
12.2,446.381,1152.774
12.25,445.311,1155.983
12.3,444.221,1159.182
12.35,443.11,1162.369
12.4,441.979,1165.545
12.45,440.827,1168.711
12.5,439.654,1171.866
12.55,438.462,1175.01
12.6,437.249,1178.143
12.65,436.015,1181.265
12.7,434.762,1184.377
12.75,433.488,1187.478
12.8,432.194,1190.569
12.85,430.88,1193.649
12.9,429.546,1196.719
12.95,428.193,1199.778
13,426.819,1202.827
13.05,425.426,1205.865
