# Séparation, actif, 80 (Up to date)
# 403 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.252e-4,2.606e-4
0.03,0.004,0.001
0.04,0.012,0.003
0.05,0.026,0.006
0.06,0.047,0.011
0.07,0.076,0.016
0.075,0.094,0.02
0.082,0.123,0.025
0.092,0.168,0.034
0.102,0.22,0.044
0.112,0.28,0.055
0.122,0.347,0.068
0.132,0.421,0.082
0.143,0.503,0.097
0.15,0.569,0.109
0.16,0.664,0.126
0.17,0.766,0.145
0.18,0.875,0.165
0.19,0.992,0.187
0.2,1.117,0.209
0.21,1.249,0.233
0.22,1.388,0.258
0.23,1.535,0.285
0.24,1.689,0.313
0.25,1.851,0.342
0.26,2.02,0.373
0.27,2.196,0.405
0.28,2.38,0.438
0.29,2.571,0.472
0.3,2.77,0.508
0.31,2.976,0.545
0.32,3.189,0.583
0.33,3.41,0.623
0.34,3.638,0.664
0.35,3.873,0.706
0.36,4.116,0.749
0.375,4.493,0.817
0.398,5.09,0.925
0.431,6.053,1.101
0.481,7.63,1.39
0.5,8.267,1.508
0.528,9.269,1.694
0.57,10.877,1.993
0.62,12.942,2.381
0.67,15.18,2.802
0.72,17.59,3.258
0.77,20.168,3.749
0.82,22.914,4.274
0.87,25.826,4.835
0.92,28.902,5.43
0.97,32.139,6.062
1,34.138,6.454
1.045,37.24,7.066
1.095,40.871,7.789
1.145,44.657,8.549
1.195,48.595,9.347
1.245,52.683,10.182
1.295,56.918,11.053
1.345,61.299,11.961
1.395,65.822,12.904
1.445,70.487,13.882
1.495,75.29,14.892
1.5,75.824,15.004
1.508,76.627,15.174
1.521,77.84,15.43
1.539,79.673,15.817
1.567,82.458,16.406
1.608,86.711,17.309
1.658,91.952,18.425
1.708,97.322,19.574
1.758,102.817,20.755
1.808,108.436,21.97
1.858,114.176,23.217
1.908,120.035,24.496
1.958,126.01,25.807
2,131.096,26.926
2.05,137.279,28.291
2.1,143.573,29.685
2.15,149.974,31.108
2.2,156.48,32.559
2.25,163.089,34.039
2.3,169.799,35.548
2.35,176.607,37.086
2.4,183.511,38.651
2.45,190.508,40.242
2.5,197.596,41.86
2.55,204.774,43.502
2.6,212.039,45.17
2.65,219.388,46.863
2.7,226.82,48.582
2.75,234.332,50.325
2.8,241.923,52.092
2.85,249.59,53.883
2.9,257.331,55.696
2.95,265.145,57.532
3,273.028,59.39
3.05,280.972,61.268
3.1,288.96,63.163
3.15,296.977,65.07
3.2,305.011,66.988
3.25,313.052,68.912
3.3,321.09,70.842
3.35,329.116,72.774
3.4,337.123,74.709
3.45,345.106,76.643
3.5,353.06,78.576
3.55,360.979,80.507
3.6,368.862,82.435
3.65,376.706,84.359
3.7,384.506,86.278
3.75,392.258,88.192
3.8,399.962,90.099
3.85,407.616,92.001
# Event BURNOUT occurred at t=3.9 seconds
3.9,415.22,93.896
3.95,422.774,95.785
4,430.277,97.667
4.05,437.731,99.542
4.1,445.135,101.412
4.15,452.491,103.275
4.2,459.797,105.132
4.25,467.056,106.984
4.3,474.266,108.829
4.35,481.429,110.668
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,488.544,112.501
4.45,495.596,114.324
4.5,502.571,116.133
4.55,509.469,117.929
4.6,516.292,119.712
4.65,523.04,121.481
4.7,529.716,123.238
4.75,536.319,124.983
4.8,542.852,126.715
4.85,549.314,128.434
4.9,555.708,130.143
4.95,562.035,131.839
5,568.294,133.524
5.05,574.487,135.198
5.1,580.615,136.861
5.15,586.679,138.513
5.2,592.68,140.155
5.25,598.619,141.786
5.3,604.495,143.407
5.35,610.311,145.018
5.4,616.067,146.619
5.45,621.764,148.21
5.5,627.402,149.792
5.55,632.982,151.364
5.6,638.505,152.927
5.65,643.972,154.481
5.7,649.383,156.026
5.75,654.739,157.562
5.8,660.04,159.09
5.85,665.288,160.609
5.9,670.482,162.12
5.95,675.624,163.623
6,680.714,165.118
6.05,685.752,166.604
6.1,690.74,168.083
6.15,695.677,169.554
6.2,700.564,171.018
6.25,705.402,172.474
6.3,710.191,173.922
6.35,714.931,175.364
6.4,719.624,176.798
6.45,724.27,178.225
6.5,728.869,179.646
6.55,733.421,181.059
6.6,737.927,182.466
6.65,742.388,183.867
6.7,746.804,185.26
6.75,751.175,186.648
6.8,755.502,188.029
6.85,759.785,189.404
6.9,764.025,190.772
6.95,768.221,192.135
7,772.375,193.492
7.05,776.486,194.843
7.1,780.556,196.188
7.15,784.584,197.527
7.2,788.57,198.861
7.25,792.516,200.19
7.3,796.421,201.512
7.35,800.286,202.83
7.4,804.111,204.142
7.45,807.897,205.449
7.5,811.643,206.751
7.55,815.35,208.048
7.6,819.019,209.339
7.65,822.649,210.626
7.7,826.241,211.908
7.75,829.795,213.185
7.8,833.312,214.458
7.85,836.791,215.726
7.9,840.233,216.989
7.95,843.639,218.247
8,847.008,219.501
8.05,850.341,220.751
8.1,853.638,221.997
8.15,856.9,223.238
8.2,860.125,224.475
8.25,863.316,225.707
8.3,866.471,226.936
8.35,869.592,228.16
8.4,872.678,229.381
8.45,875.73,230.597
8.5,878.748,231.81
8.55,881.731,233.019
8.6,884.681,234.224
8.65,887.598,235.425
8.7,890.481,236.623
8.75,893.331,237.817
8.8,896.148,239.007
8.85,898.932,240.194
8.9,901.684,241.377
8.95,904.403,242.557
9,907.09,243.733
9.05,909.745,244.906
9.1,912.368,246.076
9.15,914.96,247.243
9.2,917.52,248.406
9.25,920.049,249.566
9.3,922.546,250.723
9.35,925.013,251.877
9.4,927.448,253.027
9.45,929.853,254.175
9.5,932.227,255.32
9.55,934.571,256.462
9.6,936.884,257.601
9.65,939.168,258.737
9.7,941.421,259.87
9.75,943.645,261
9.8,945.838,262.128
9.85,948.002,263.253
9.9,950.137,264.375
9.95,952.242,265.495
10,954.318,266.612
10.05,956.365,267.726
10.1,958.383,268.838
10.15,960.372,269.948
10.2,962.333,271.055
10.25,964.264,272.159
10.3,966.168,273.261
10.35,968.043,274.361
10.4,969.889,275.458
10.45,971.707,276.553
10.5,973.498,277.646
10.55,975.26,278.737
10.6,976.994,279.825
10.65,978.701,280.911
10.7,980.38,281.995
10.75,982.031,283.076
10.8,983.655,284.156
10.85,985.251,285.233
10.9,986.82,286.309
10.95,988.362,287.382
11,989.876,288.454
11.05,991.364,289.523
11.1,992.825,290.59
11.15,994.258,291.656
11.2,995.665,292.72
11.25,997.046,293.781
11.3,998.399,294.841
11.35,999.726,295.899
11.4,1001.027,296.955
11.45,1002.301,298.009
11.5,1003.548,299.062
11.55,1004.77,300.113
11.6,1005.965,301.162
11.65,1007.134,302.209
11.7,1008.277,303.254
11.75,1009.394,304.298
11.8,1010.485,305.341
11.85,1011.55,306.381
11.9,1012.59,307.42
11.95,1013.603,308.457
12,1014.591,309.493
12.05,1015.554,310.527
12.1,1016.491,311.56
12.15,1017.402,312.591
12.2,1018.288,313.621
12.25,1019.148,314.649
12.3,1019.983,315.675
12.35,1020.793,316.7
12.4,1021.578,317.724
12.45,1022.337,318.746
12.5,1023.072,319.767
12.55,1023.781,320.786
12.6,1024.465,321.804
12.65,1025.125,322.82
12.7,1025.759,323.835
12.75,1026.369,324.849
12.8,1026.953,325.861
12.85,1027.513,326.872
12.9,1028.049,327.882
12.95,1028.559,328.89
13,1029.046,329.897
