# Séparation, actif, 45 (Up to date)
# 599 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.084e-4,0.001
0.03,0.002,0.005
0.04,0.007,0.012
0.05,0.016,0.025
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.03,0.043
0.07,0.05,0.068
0.075,0.062,0.082
0.082,0.082,0.106
0.092,0.113,0.143
0.102,0.15,0.185
0.112,0.193,0.232
0.122,0.24,0.285
0.132,0.293,0.343
0.143,0.352,0.407
0.15,0.4,0.458
0.16,0.468,0.532
0.17,0.542,0.611
0.18,0.621,0.695
0.19,0.706,0.785
0.2,0.797,0.881
0.21,0.893,0.982
0.22,0.994,1.088
0.23,1.101,1.2
0.24,1.214,1.318
0.25,1.332,1.441
0.26,1.456,1.57
0.27,1.585,1.704
0.28,1.72,1.844
0.29,1.86,1.989
0.3,2.006,2.14
0.31,2.157,2.296
0.32,2.313,2.458
0.33,2.476,2.625
0.34,2.643,2.798
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,2.816,2.976
0.365,3.085,3.253
0.388,3.51,3.695
0.421,4.193,4.413
0.471,5.307,5.598
0.5,6.003,6.345
0.543,7.122,7.554
0.593,8.53,9.088
0.643,10.056,10.764
0.693,11.699,12.58
0.743,13.456,14.537
0.793,15.326,16.634
0.843,17.305,18.871
0.893,19.39,21.25
0.943,21.577,23.772
0.993,23.862,26.436
1,24.184,26.814
1.01,24.67,27.385
1.026,25.406,28.254
1.049,26.526,29.584
1.084,28.243,31.636
1.134,30.784,34.707
1.184,33.408,37.923
1.234,36.115,41.281
1.284,38.902,44.78
1.334,41.771,48.416
1.384,44.72,52.187
1.434,47.751,56.089
1.484,50.863,60.12
1.5,51.889,61.454
1.524,53.444,63.48
1.561,55.81,66.574
1.611,59.119,70.923
1.661,62.5,75.397
1.711,65.948,79.996
1.761,69.46,84.72
1.811,73.033,89.567
1.861,76.665,94.535
1.911,80.358,99.622
1.961,84.11,104.823
2,87.094,108.98
2.05,90.953,114.38
2.1,94.868,119.888
2.15,98.836,125.505
2.2,102.854,131.23
2.25,106.918,137.061
2.3,111.028,142.998
2.35,115.182,149.036
2.4,119.381,155.174
2.45,123.624,161.409
2.5,127.91,167.738
2.55,132.235,174.161
2.6,136.597,180.677
2.65,140.993,187.285
2.7,145.423,193.983
2.75,149.886,200.768
2.8,154.382,207.638
2.85,158.909,214.592
2.9,163.465,221.627
2.95,168.049,228.742
3,172.656,235.937
3.05,177.284,243.202
3.1,181.924,250.525
3.15,186.567,257.889
3.2,191.206,265.285
3.25,195.836,272.706
3.3,200.451,280.142
3.35,205.044,287.585
3.4,209.614,295.03
3.45,214.158,302.471
3.5,218.673,309.903
3.55,223.157,317.324
3.6,227.606,324.73
3.65,232.021,332.119
3.7,236.398,339.487
3.75,240.737,346.831
3.8,245.037,354.149
3.85,249.296,361.44
# Event BURNOUT occurred at t=3.9 seconds
3.9,253.516,368.705
3.95,257.695,375.942
4,261.834,383.153
4.05,265.934,390.337
4.1,269.993,397.494
4.15,274.014,404.625
4.2,277.996,411.73
4.25,281.939,418.809
4.3,285.843,425.863
4.35,289.708,432.891
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,293.536,439.895
4.45,297.323,446.87
4.5,301.07,453.814
4.55,304.775,460.727
4.6,308.439,467.609
4.65,312.063,474.462
4.7,315.647,481.285
4.75,319.191,488.078
4.8,322.695,494.841
4.85,326.16,501.576
# Event IGNITION occurred at t=4.9 seconds
4.9,329.586,508.283
4.95,332.995,515.004
5,336.457,521.879
5.05,339.982,528.928
5.1,343.571,536.154
5.15,347.223,543.559
5.2,350.939,551.143
5.25,354.719,558.909
5.3,358.563,566.856
5.35,362.47,574.984
5.4,366.439,583.294
5.45,370.47,591.786
5.5,374.562,600.457
5.55,378.714,609.308
5.6,382.925,618.337
5.65,387.192,627.541
5.7,391.514,636.916
5.75,395.889,646.459
5.8,400.314,656.166
5.85,404.787,666.032
5.9,409.307,676.054
5.95,413.87,686.228
6,418.474,696.55
6.05,423.119,707.017
6.1,427.801,717.623
6.15,432.518,728.367
6.2,437.27,739.244
6.25,442.053,750.249
6.3,446.865,761.378
6.35,451.705,772.626
6.4,456.569,783.989
6.45,461.455,795.462
6.5,466.362,807.041
6.55,471.288,818.722
6.6,476.231,830.501
6.65,481.188,842.373
6.7,486.156,854.331
6.75,491.124,866.349
6.8,496.082,878.401
6.85,501.018,890.458
6.9,505.92,902.493
6.95,510.78,914.483
7,515.593,926.417
7.05,520.355,938.288
7.1,525.065,950.087
7.15,529.718,961.808
# Event BURNOUT occurred at t=7.16 seconds
7.16,530.642,964.142
7.175,532.023,967.636
7.198,534.084,972.86
7.231,537.152,980.66
7.281,541.645,992.136
7.331,546.078,1003.52
7.381,550.45,1014.812
7.431,554.764,1026.016
7.481,559.02,1037.131
7.531,563.218,1048.161
7.581,567.36,1059.107
7.631,571.447,1069.97
7.681,575.478,1080.752
7.731,579.456,1091.455
7.781,583.38,1102.079
7.831,587.251,1112.627
7.881,591.07,1123.099
7.931,594.838,1133.496
7.981,598.555,1143.821
8.031,602.222,1154.075
8.081,605.839,1164.258
8.131,609.408,1174.371
8.181,612.927,1184.416
8.231,616.399,1194.395
8.281,619.824,1204.307
8.331,623.202,1214.154
8.381,626.533,1223.938
8.431,629.819,1233.658
8.481,633.059,1243.316
8.531,636.255,1252.914
8.581,639.406,1262.451
8.631,642.513,1271.929
8.681,645.576,1281.348
8.731,648.597,1290.71
8.781,651.574,1300.015
8.831,654.51,1309.265
8.881,657.403,1318.459
8.931,660.255,1327.599
8.981,663.066,1336.685
9.031,665.837,1345.718
9.081,668.566,1354.7
9.131,671.256,1363.63
9.181,673.906,1372.509
9.231,676.517,1381.338
9.281,679.089,1390.118
9.331,681.622,1398.849
9.381,684.117,1407.532
9.431,686.574,1416.167
9.481,688.993,1424.755
9.531,691.374,1433.298
9.581,693.719,1441.794
9.631,696.026,1450.245
9.681,698.298,1458.652
9.731,700.532,1467.015
9.781,702.731,1475.334
9.831,704.894,1483.61
9.881,707.022,1491.844
9.931,709.114,1500.036
9.981,711.171,1508.186
10.031,713.194,1516.296
10.081,715.182,1524.364
10.131,717.136,1532.393
10.181,719.055,1540.382
10.231,720.941,1548.333
10.281,722.794,1556.244
10.331,724.613,1564.117
10.381,726.399,1571.953
10.431,728.152,1579.751
10.481,729.872,1587.512
10.531,731.56,1595.236
10.581,733.215,1602.924
10.631,734.839,1610.577
10.681,736.43,1618.193
10.731,737.99,1625.775
10.781,739.518,1633.323
10.831,741.015,1640.835
10.881,742.48,1648.314
10.931,743.915,1655.76
10.981,745.319,1663.172
11.031,746.692,1670.551
11.081,748.035,1677.897
11.131,749.347,1685.212
11.181,750.63,1692.494
11.231,751.882,1699.744
11.281,753.105,1706.964
11.331,754.297,1714.152
11.381,755.461,1721.31
11.431,756.595,1728.437
11.481,757.7,1735.534
11.531,758.776,1742.601
11.581,759.823,1749.638
11.631,760.841,1756.647
11.681,761.83,1763.626
11.731,762.791,1770.576
11.781,763.724,1777.498
11.831,764.629,1784.392
11.881,765.505,1791.258
11.931,766.354,1798.096
11.981,767.174,1804.907
12.031,767.967,1811.69
12.081,768.733,1818.447
12.131,769.471,1825.176
12.181,770.182,1831.879
12.231,770.865,1838.556
12.281,771.522,1845.207
12.331,772.151,1851.832
12.381,772.754,1858.431
12.431,773.33,1865.005
12.481,773.879,1871.554
