# Séparation, actif, 80 (Up to date)
# 629 data points written for 3 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (32,4 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.252e-4,2.606e-4
0.03,0.004,0.001
0.04,0.012,0.003
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.026,0.006
0.06,0.047,0.011
0.07,0.076,0.016
0.075,0.094,0.02
0.082,0.123,0.025
0.092,0.168,0.034
0.102,0.22,0.044
0.112,0.28,0.055
0.122,0.347,0.068
0.132,0.421,0.082
0.143,0.503,0.097
0.15,0.569,0.109
0.16,0.664,0.126
0.17,0.766,0.145
0.18,0.875,0.165
0.19,0.992,0.187
0.2,1.117,0.209
0.21,1.249,0.233
0.22,1.388,0.258
0.23,1.535,0.285
0.24,1.689,0.313
0.25,1.851,0.342
0.26,2.02,0.373
0.27,2.196,0.405
0.28,2.38,0.438
0.29,2.571,0.472
0.3,2.77,0.508
0.31,2.976,0.545
0.32,3.189,0.583
0.33,3.41,0.623
0.34,3.638,0.664
0.35,3.873,0.706
# Event LAUNCHROD occurred at t=0.36 seconds
0.36,4.116,0.749
0.375,4.493,0.817
0.398,5.09,0.925
0.431,6.053,1.101
0.481,7.63,1.39
0.5,8.267,1.508
0.528,9.269,1.694
0.57,10.877,1.993
0.62,12.942,2.381
0.67,15.18,2.802
0.72,17.59,3.258
0.77,20.168,3.749
0.82,22.914,4.274
0.87,25.826,4.835
0.92,28.902,5.43
0.97,32.139,6.062
1,34.138,6.454
1.045,37.24,7.066
1.095,40.871,7.789
1.145,44.657,8.549
1.195,48.595,9.347
1.245,52.683,10.182
1.295,56.918,11.053
1.345,61.299,11.961
1.395,65.822,12.904
1.445,70.487,13.882
1.495,75.29,14.892
1.5,75.824,15.004
1.508,76.627,15.174
1.521,77.84,15.43
1.539,79.673,15.817
1.567,82.458,16.406
1.608,86.711,17.309
1.658,91.952,18.425
1.708,97.322,19.574
1.758,102.817,20.755
1.808,108.436,21.97
1.858,114.176,23.217
1.908,120.035,24.496
1.958,126.01,25.807
2,131.096,26.926
2.05,137.279,28.291
2.1,143.573,29.685
2.15,149.974,31.108
2.2,156.48,32.559
2.25,163.089,34.039
2.3,169.799,35.548
2.35,176.607,37.086
2.4,183.511,38.651
2.45,190.508,40.242
2.5,197.596,41.86
2.55,204.774,43.502
2.6,212.039,45.17
2.65,219.388,46.863
2.7,226.82,48.582
2.75,234.332,50.325
2.8,241.923,52.092
2.85,249.59,53.883
2.9,257.331,55.696
2.95,265.145,57.532
3,273.028,59.39
3.05,280.972,61.268
3.1,288.96,63.163
3.15,296.977,65.07
3.2,305.011,66.988
3.25,313.052,68.912
3.3,321.09,70.842
3.35,329.116,72.774
3.4,337.123,74.709
3.45,345.106,76.643
3.5,353.06,78.576
3.55,360.979,80.507
3.6,368.862,82.435
3.65,376.706,84.359
3.7,384.506,86.278
3.75,392.258,88.192
3.8,399.962,90.099
3.85,407.616,92.001
# Event BURNOUT occurred at t=3.9 seconds
3.9,415.22,93.896
3.95,422.774,95.785
4,430.277,97.667
4.05,437.731,99.542
4.1,445.135,101.412
4.15,452.491,103.275
4.2,459.797,105.132
4.25,467.056,106.984
4.3,474.266,108.829
4.35,481.429,110.668
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,488.544,112.501
4.45,495.609,114.327
4.5,502.622,116.147
4.55,509.582,117.959
4.6,516.491,119.764
4.65,523.348,121.561
4.7,530.154,123.352
4.75,536.91,125.136
4.8,543.616,126.914
4.85,550.272,128.684
# Event IGNITION occurred at t=4.9 seconds
4.9,556.879,130.448
4.95,563.483,132.218
5,570.235,134.034
5.05,577.159,135.903
5.1,584.255,137.825
5.15,591.525,139.802
5.2,598.973,141.833
5.25,606.598,143.919
5.3,614.401,146.061
5.35,622.383,148.259
5.4,630.543,150.512
5.45,638.881,152.822
5.5,647.396,155.187
5.55,656.088,157.609
5.6,664.954,160.086
5.65,673.992,162.618
5.7,683.198,165.204
5.75,692.569,167.843
5.8,702.1,170.534
5.85,711.788,173.276
5.9,721.628,176.069
5.95,731.616,178.91
6,741.748,181.8
6.05,752.022,184.737
6.1,762.432,187.72
6.15,772.975,190.748
6.2,783.648,193.821
6.25,794.446,196.937
6.3,805.364,200.094
6.35,816.398,203.292
6.4,827.543,206.53
6.45,838.795,209.805
6.5,850.15,213.118
6.55,861.602,216.467
6.6,873.149,219.85
6.65,884.786,223.266
6.7,896.504,226.714
6.75,908.279,230.186
6.8,920.081,233.673
6.85,931.882,237.167
6.9,943.655,240.66
6.95,955.373,244.144
7,967.027,247.616
7.05,978.608,251.074
7.1,990.108,254.515
7.15,1001.519,257.936
# Event BURNOUT occurred at t=7.16 seconds
7.16,1003.79,258.618
7.175,1007.188,259.639
7.198,1012.267,261.166
7.231,1019.845,263.447
7.281,1030.984,266.805
7.331,1042.017,270.14
7.381,1052.949,273.451
7.431,1063.78,276.739
7.481,1074.511,280.004
7.531,1085.145,283.247
7.581,1095.684,286.468
7.631,1106.127,289.668
7.681,1116.478,292.846
7.731,1126.737,296.004
7.781,1136.906,299.142
7.831,1146.986,302.26
7.881,1156.978,305.358
7.931,1166.883,308.437
7.981,1176.704,311.497
8.031,1186.441,314.539
8.081,1196.094,317.562
8.131,1205.666,320.567
8.181,1215.158,323.555
8.231,1224.57,326.525
8.281,1233.903,329.478
8.331,1243.159,332.415
8.381,1252.338,335.335
8.431,1261.442,338.238
8.481,1270.471,341.126
8.531,1279.426,343.997
8.581,1288.309,346.854
8.631,1297.119,349.695
8.681,1305.859,352.521
8.731,1314.528,355.332
8.781,1323.128,358.128
8.831,1331.659,360.91
8.881,1340.122,363.678
8.931,1348.518,366.432
8.981,1356.848,369.172
9.031,1365.112,371.899
9.081,1373.311,374.612
9.131,1381.446,377.312
9.181,1389.518,379.999
9.231,1397.526,382.673
9.281,1405.473,385.335
9.331,1413.357,387.984
9.381,1421.181,390.62
9.431,1428.944,393.245
9.481,1436.648,395.858
9.531,1444.292,398.459
9.581,1451.878,401.048
9.631,1459.406,403.626
9.681,1466.876,406.192
9.731,1474.29,408.748
9.781,1481.647,411.292
9.831,1488.948,413.825
9.881,1496.194,416.348
9.931,1503.385,418.86
9.981,1510.521,421.362
10.031,1517.604,423.853
10.081,1524.633,426.334
10.131,1531.609,428.805
10.181,1538.533,431.266
10.231,1545.405,433.717
10.281,1552.225,436.159
10.331,1558.994,438.59
10.381,1565.712,441.013
10.431,1572.38,443.426
10.481,1578.998,445.83
10.531,1585.566,448.224
10.581,1592.086,450.61
10.631,1598.556,452.987
10.681,1604.978,455.355
10.731,1611.353,457.714
10.781,1617.679,460.065
10.831,1623.959,462.407
10.881,1630.191,464.741
10.931,1636.377,467.066
10.981,1642.517,469.384
11.031,1648.61,471.693
11.081,1654.659,473.994
11.131,1660.662,476.287
11.181,1666.62,478.573
11.231,1672.533,480.85
11.281,1678.403,483.121
11.331,1684.228,485.383
11.381,1690.01,487.638
11.431,1695.748,489.886
11.481,1701.443,492.126
11.531,1707.096,494.359
11.581,1712.706,496.585
11.631,1718.274,498.804
11.681,1723.8,501.016
11.731,1729.284,503.221
11.781,1734.727,505.419
11.831,1740.128,507.61
11.881,1745.489,509.795
11.931,1750.809,511.973
11.981,1756.089,514.145
12.031,1761.329,516.31
12.081,1766.528,518.468
12.131,1771.688,520.621
12.181,1776.809,522.767
12.231,1781.89,524.907
