# LaOnRigoleVite (Up to date)
# 435 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,2.789e-4,6.053e-4
0.02,0.004,0.005
0.03,0.015,0.019
0.04,0.035,0.042
0.05,0.064,0.075
0.06,0.102,0.116
0.07,0.148,0.167
0.08,0.203,0.225
0.09,0.267,0.293
0.1,0.34,0.369
0.11,0.421,0.455
0.12,0.512,0.549
0.13,0.612,0.653
0.14,0.72,0.765
0.15,0.838,0.887
0.16,0.965,1.017
0.17,1.101,1.157
0.18,1.246,1.305
0.19,1.4,1.463
0.2,1.563,1.63
0.21,1.735,1.806
0.22,1.917,1.992
0.23,2.108,2.186
0.24,2.308,2.39
0.25,2.517,2.603
0.26,2.735,2.825
0.27,2.962,3.056
0.285,3.32,3.421
0.3,3.698,3.807
0.322,4.301,4.427
0.356,5.289,5.45
0.4,6.719,6.94
0.45,8.559,8.871
0.5,10.617,11.043
0.55,12.893,13.457
0.6,15.385,16.113
0.65,18.088,19.012
0.7,21.001,22.156
0.75,24.118,25.547
0.8,27.433,29.186
0.85,30.94,33.072
0.9,34.635,37.206
0.95,38.511,41.584
1,42.568,46.203
1.05,46.802,51.055
1.1,51.212,56.135
1.15,55.797,61.438
1.2,60.554,66.959
1.25,65.478,72.696
1.3,70.561,78.648
1.35,75.797,84.811
1.4,81.176,91.182
1.45,86.696,97.754
1.5,92.356,104.524
1.55,98.151,111.48
1.6,104.056,118.594
1.62,106.441,121.473
1.64,108.833,124.366
1.66,111.229,127.268
1.67,112.427,128.721
1.68,113.624,130.175
1.69,114.821,131.629
# Event BURNOUT occurred at t=1.7 seconds
1.7,116.016,133.083
1.715,117.806,135.262
1.737,120.481,138.525
1.771,124.475,143.41
1.821,130.351,150.623
1.871,136.18,157.807
1.921,141.962,164.962
1.971,147.699,172.088
2.021,153.39,179.186
2.071,159.034,186.256
2.121,164.63,193.301
2.171,170.18,200.32
# Event SIM_WARN occurred at t=2.2 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=2.2 seconds
2.2,173.351,204.343
2.25,178.809,211.294
2.3,184.184,218.169
2.35,189.477,224.97
2.4,194.689,231.699
2.45,199.822,238.358
2.5,204.878,244.948
2.55,209.858,251.47
2.6,214.764,257.928
2.65,219.597,264.321
2.7,224.359,270.652
2.75,229.05,276.922
2.8,233.672,283.132
2.85,238.226,289.284
2.9,242.714,295.379
2.95,247.137,301.418
3,251.495,307.403
3.05,255.79,313.334
3.1,260.022,319.213
3.15,264.194,325.04
3.2,268.305,330.817
3.25,272.356,336.545
3.3,276.35,342.225
3.35,280.285,347.858
3.4,284.164,353.444
3.45,287.988,358.985
3.5,291.756,364.481
3.55,295.469,369.934
3.6,299.13,375.344
3.65,302.737,380.712
3.7,306.292,386.038
3.75,309.796,391.324
3.8,313.249,396.57
3.85,316.652,401.777
3.9,320.006,406.946
3.95,323.311,412.077
4,326.567,417.171
4.05,329.776,422.228
4.1,332.938,427.25
4.15,336.054,432.237
4.2,339.123,437.189
4.25,342.147,442.107
4.3,345.126,446.991
4.35,348.061,451.843
4.4,350.952,456.662
4.45,353.799,461.45
4.5,356.603,466.206
4.55,359.365,470.932
4.6,362.085,475.627
4.65,364.763,480.292
4.7,367.4,484.928
4.75,369.996,489.534
4.8,372.551,494.113
4.85,375.067,498.663
4.9,377.543,503.186
4.95,379.979,507.681
5,382.377,512.15
5.05,384.736,516.592
5.1,387.057,521.008
5.15,389.34,525.399
5.2,391.586,529.764
5.25,393.795,534.104
5.3,395.966,538.42
5.35,398.101,542.711
5.4,400.2,546.978
5.45,402.262,551.222
5.5,404.29,555.443
5.55,406.281,559.64
5.6,408.238,563.815
5.65,410.16,567.968
5.7,412.047,572.099
5.75,413.9,576.208
5.8,415.719,580.295
5.85,417.504,584.361
5.9,419.255,588.407
5.95,420.974,592.431
6,422.659,596.436
6.05,424.311,600.42
6.1,425.931,604.384
6.15,427.518,608.329
6.2,429.073,612.254
6.25,430.597,616.16
6.3,432.088,620.048
6.35,433.548,623.916
6.4,434.977,627.766
6.45,436.374,631.598
6.5,437.741,635.412
6.55,439.077,639.208
6.6,440.382,642.986
6.65,441.657,646.747
6.7,442.902,650.491
6.75,444.117,654.218
6.8,445.302,657.928
6.85,446.457,661.621
6.9,447.582,665.298
6.95,448.679,668.959
7,449.746,672.603
7.05,450.784,676.232
7.1,451.794,679.845
7.15,452.774,683.442
7.2,453.726,687.024
7.25,454.65,690.59
7.3,455.545,694.142
7.35,456.412,697.678
7.4,457.252,701.2
7.45,458.063,704.707
7.5,458.847,708.2
7.55,459.603,711.678
7.6,460.332,715.142
7.65,461.033,718.592
7.7,461.707,722.028
7.75,462.354,725.45
7.8,462.974,728.859
7.85,463.568,732.254
7.9,464.135,735.635
7.95,464.675,739.003
8,465.188,742.358
8.05,465.676,745.7
8.1,466.137,749.03
8.15,466.571,752.346
8.2,466.98,755.649
8.25,467.363,758.94
8.3,467.72,762.219
8.35,468.052,765.485
8.4,468.358,768.739
8.45,468.638,771.98
8.5,468.893,775.21
8.55,469.123,778.427
8.6,469.327,781.633
8.65,469.507,784.827
8.7,469.661,788.009
8.75,469.791,791.18
8.8,469.895,794.339
8.85,469.975,797.486
8.9,470.03,800.623
8.95,470.061,803.748
# Event APOGEE occurred at t=9 seconds
9,470.067,806.862
9.05,470.049,809.964
9.1,470.007,813.056
9.15,469.94,816.137
9.2,469.85,819.207
9.25,469.735,822.266
9.3,469.596,825.315
9.35,469.434,828.352
9.4,469.247,831.38
9.45,469.037,834.396
9.5,468.804,837.403
9.55,468.546,840.399
9.6,468.266,843.384
9.65,467.962,846.36
9.7,467.634,849.325
9.75,467.284,852.28
9.8,466.91,855.225
9.85,466.513,858.16
9.9,466.093,861.085
9.95,465.65,864.001
10,465.185,866.906
10.05,464.696,869.802
10.1,464.185,872.688
10.15,463.651,875.564
