# LaOnRigoleVite (Up to date)
# 354 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,5.166e-4,1.486e-4
0.02,0.006,0.001
0.03,0.023,0.005
0.04,0.052,0.01
0.05,0.094,0.018
0.06,0.147,0.028
0.07,0.212,0.04
0.08,0.29,0.054
0.09,0.379,0.07
0.1,0.48,0.089
0.11,0.594,0.109
0.12,0.719,0.132
0.13,0.857,0.157
0.14,1.008,0.184
0.15,1.17,0.213
0.16,1.345,0.244
0.17,1.533,0.278
0.18,1.733,0.314
0.19,1.945,0.351
0.2,2.169,0.392
0.21,2.407,0.434
0.22,2.656,0.478
0.23,2.918,0.525
0.24,3.193,0.574
0.25,3.48,0.625
0.26,3.78,0.678
0.27,4.093,0.734
0.285,4.584,0.822
0.3,5.105,0.915
0.322,5.938,1.064
0.356,7.307,1.311
0.4,9.294,1.672
0.45,11.861,2.139
0.5,14.741,2.667
0.55,17.934,3.253
0.6,21.437,3.899
0.65,25.251,4.605
0.7,29.373,5.371
0.75,33.802,6.199
0.8,38.534,7.089
0.85,43.566,8.042
0.9,48.893,9.057
0.95,54.51,10.134
1,60.413,11.272
1.05,66.595,12.471
1.1,73.052,13.726
1.15,79.779,15.039
1.2,86.77,16.406
1.25,94.022,17.827
1.3,101.528,19.303
1.35,109.281,20.833
1.4,117.273,22.417
1.45,125.497,24.052
1.5,133.95,25.738
1.55,142.621,27.473
1.6,151.473,29.247
1.62,155.052,29.966
1.64,158.645,30.688
1.66,162.244,31.412
1.67,164.046,31.775
1.68,165.847,32.138
1.69,167.648,32.501
# Event BURNOUT occurred at t=1.7 seconds
1.7,169.447,32.864
1.715,172.142,33.408
1.737,176.174,34.223
1.771,182.2,35.442
1.821,191.077,37.244
1.871,199.896,39.039
1.921,208.657,40.827
1.971,217.361,42.608
2.021,226.008,44.381
2.071,234.599,46.149
2.121,243.133,47.909
2.171,251.612,49.664
# Event SIM_WARN occurred at t=2.2 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=2.2 seconds
2.2,256.462,50.67
2.25,264.825,52.409
2.3,273.077,54.13
2.35,281.219,55.833
2.4,289.255,57.519
2.45,297.186,59.188
2.5,305.015,60.841
2.55,312.744,62.477
2.6,320.375,64.099
2.65,327.91,65.705
2.7,335.352,67.296
2.75,342.7,68.872
2.8,349.959,70.434
2.85,357.128,71.983
2.9,364.211,73.518
2.95,371.208,75.04
3,378.121,76.548
3.05,384.952,78.044
3.1,391.702,79.528
3.15,398.372,81
3.2,404.964,82.459
3.25,411.479,83.907
3.3,417.918,85.344
3.35,424.284,86.769
3.4,430.576,88.184
3.45,436.796,89.588
3.5,442.945,90.981
3.55,449.024,92.364
3.6,455.035,93.737
3.65,460.978,95.1
3.7,466.854,96.454
3.75,472.665,97.797
3.8,478.411,99.132
3.85,484.094,100.457
3.9,489.713,101.774
3.95,495.271,103.082
4,500.767,104.381
4.05,506.203,105.671
4.1,511.58,106.953
4.15,516.898,108.227
4.2,522.158,109.493
4.25,527.361,110.751
4.3,532.507,112.001
4.35,537.598,113.244
4.4,542.633,114.479
4.45,547.615,115.707
4.5,552.542,116.928
4.55,557.417,118.141
4.6,562.239,119.348
4.65,567.009,120.547
4.7,571.728,121.74
4.75,576.396,122.927
4.8,581.015,124.106
4.85,585.584,125.28
4.9,590.104,126.447
4.95,594.575,127.607
5,598.999,128.762
5.05,603.375,129.911
5.1,607.704,131.054
5.15,611.987,132.191
5.2,616.224,133.322
5.25,620.416,134.447
5.3,624.562,135.568
5.35,628.664,136.682
5.4,632.722,137.791
5.45,636.736,138.895
5.5,640.707,139.994
5.55,644.635,141.088
5.6,648.521,142.176
5.65,652.364,143.26
5.7,656.166,144.339
5.75,659.927,145.413
5.8,663.646,146.482
5.85,667.325,147.547
5.9,670.964,148.607
5.95,674.562,149.662
6,678.122,150.713
6.05,681.641,151.76
6.1,685.123,152.802
6.15,688.565,153.84
6.2,691.969,154.874
6.25,695.335,155.903
6.3,698.664,156.929
6.35,701.955,157.951
6.4,705.209,158.968
6.45,708.427,159.982
6.5,711.607,160.992
6.55,714.752,161.998
6.6,717.86,163.001
6.65,720.933,163.999
6.7,723.97,164.995
6.75,726.972,165.986
6.8,729.94,166.974
6.85,732.872,167.959
6.9,735.77,168.94
6.95,738.633,169.918
7,741.463,170.892
7.05,744.258,171.864
7.1,747.021,172.832
7.15,749.749,173.797
7.2,752.445,174.758
7.25,755.107,175.717
7.3,757.737,176.673
7.35,760.334,177.625
7.4,762.899,178.575
7.45,765.432,179.522
7.5,767.932,180.466
7.55,770.401,181.407
7.6,772.838,182.345
7.65,775.244,183.281
7.7,777.619,184.214
7.75,779.962,185.144
7.8,782.274,186.072
7.85,784.556,186.997
7.9,786.807,187.919
7.95,789.028,188.839
8,791.218,189.757
8.05,793.378,190.672
8.1,795.508,191.584
8.15,797.608,192.495
8.2,799.679,193.403
8.25,801.72,194.308
8.3,803.731,195.211
8.35,805.714,196.112
8.4,807.667,197.011
8.45,809.591,197.908
8.5,811.486,198.803
8.55,813.352,199.695
8.6,815.19,200.585
8.65,816.999,201.473
8.7,818.78,202.36
8.75,820.533,203.244
8.8,822.257,204.126
8.85,823.953,205.006
8.9,825.621,205.885
8.95,827.262,206.761
9,828.875,207.636
9.05,830.46,208.509
9.1,832.017,209.379
9.15,833.547,210.249
9.2,835.05,211.116
9.25,836.526,211.982
9.3,837.974,212.845
9.35,839.395,213.708
9.4,840.79,214.568
9.45,842.157,215.427
9.5,843.498,216.284
9.55,844.812,217.14
9.6,846.099,217.994
9.65,847.36,218.846
9.7,848.594,219.697
9.75,849.802,220.546
9.8,850.984,221.394
9.85,852.14,222.24
9.9,853.269,223.085
9.95,854.372,223.928
10,855.45,224.77
10.05,856.501,225.611
10.1,857.526,226.45
10.15,858.526,227.287
10.2,859.5,228.124
10.25,860.449,228.958
10.3,861.372,229.792
10.35,862.269,230.624
10.4,863.141,231.455
10.45,863.987,232.284
10.5,864.808,233.112
10.55,865.604,233.939
10.6,866.375,234.765
10.65,867.121,235.589
10.7,867.841,236.412
10.75,868.537,237.234
10.8,869.207,238.054
10.85,869.853,238.873
10.9,870.474,239.691
10.95,871.07,240.508
11,871.641,241.324
11.05,872.188,242.138
11.1,872.71,242.951
11.15,873.207,243.763
11.2,873.68,244.574
11.25,874.129,245.384
11.3,874.553,246.192
11.35,874.953,246.999
11.4,875.328,247.805
11.45,875.68,248.61
11.5,876.007,249.414
11.55,876.31,250.217
11.6,876.589,251.019
11.65,876.845,251.819
11.7,877.076,252.618
11.75,877.283,253.417
11.8,877.467,254.214
11.85,877.627,255.01
11.9,877.763,255.806
11.95,877.875,256.6
12,877.964,257.393
12.05,878.03,258.185
12.1,878.072,258.977
12.15,878.09,259.767
# Event APOGEE occurred at t=12.2 seconds
12.2,878.086,260.557
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=12.201 seconds
