# LaOnRigoleVite (Up to date)
# 823 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,2.789e-4,6.053e-4
0.02,0.004,0.005
0.03,0.015,0.019
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.035,0.042
0.05,0.064,0.075
0.06,0.102,0.116
0.07,0.148,0.167
0.08,0.203,0.225
0.09,0.267,0.293
0.1,0.34,0.369
0.11,0.421,0.455
0.12,0.512,0.549
0.13,0.612,0.653
0.14,0.72,0.765
0.15,0.838,0.887
0.16,0.965,1.017
0.17,1.101,1.157
0.18,1.246,1.305
0.19,1.4,1.463
0.2,1.563,1.63
0.21,1.735,1.806
0.22,1.917,1.992
0.23,2.108,2.186
0.24,2.308,2.39
0.25,2.517,2.603
0.26,2.735,2.825
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,2.962,3.056
0.285,3.32,3.421
0.3,3.698,3.807
0.322,4.301,4.427
0.356,5.289,5.45
0.4,6.719,6.94
0.45,8.559,8.871
0.5,10.617,11.043
0.55,12.893,13.457
0.6,15.385,16.113
0.65,18.088,19.012
0.7,21.001,22.156
0.75,24.118,25.547
0.8,27.433,29.186
0.85,30.94,33.072
0.9,34.635,37.206
0.95,38.511,41.584
1,42.568,46.203
1.05,46.802,51.055
1.1,51.212,56.135
1.15,55.797,61.438
1.2,60.554,66.959
1.25,65.478,72.696
1.3,70.561,78.648
1.35,75.797,84.811
1.4,81.176,91.182
1.45,86.696,97.754
1.5,92.356,104.524
1.55,98.151,111.48
1.6,104.056,118.594
1.62,106.441,121.473
1.64,108.833,124.366
1.66,111.229,127.268
1.67,112.427,128.721
1.68,113.624,130.175
1.69,114.821,131.629
# Event BURNOUT occurred at t=1.7 seconds
1.7,116.016,133.083
1.715,117.806,135.262
1.737,120.481,138.525
1.771,124.475,143.41
1.821,130.351,150.623
1.871,136.18,157.807
1.921,141.962,164.962
1.971,147.699,172.088
2.021,153.39,179.186
2.071,159.034,186.256
2.121,164.63,193.301
2.171,170.18,200.32
# Event STAGE_SEPARATION occurred at t=2.2 seconds
# Event IGNITION occurred at t=2.2 seconds
2.2,173.351,204.343
2.243,178.208,210.526
2.293,184.259,218.257
2.343,190.748,226.581
2.393,197.681,235.507
2.443,205.059,245.04
2.493,212.882,255.179
2.543,221.144,265.921
2.593,229.842,277.262
2.643,238.969,289.196
2.693,248.515,301.709
2.743,258.467,314.788
2.793,268.808,328.412
2.843,279.526,342.564
# Event SIM_WARN occurred at t=2.893 seconds: Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
2.893,290.608,357.23
2.943,302.047,372.401
2.981,310.92,384.192
3.031,322.963,400.222
3.055,328.808,408.015
3.09,337.717,419.905
3.14,350.479,436.968
3.154,354.065,441.768
3.167,357.427,446.27
3.186,362.367,452.89
3.2,366.241,458.085
3.221,371.852,465.613
3.246,378.426,474.44
3.282,388.294,487.707
3.316,397.802,500.504
3.366,411.903,519.511
3.376,414.814,523.441
3.392,419.203,529.366
3.415,425.833,538.32
3.432,430.967,545.261
3.459,438.728,555.76
3.499,450.498,571.699
3.517,456.101,579.295
3.545,464.565,590.778
3.582,475.564,605.714
3.632,490.938,626.622
3.643,494.471,631.432
3.656,498.645,637.115
3.663,500.823,640.081
3.671,503.164,643.27
3.682,506.683,648.066
3.697,511.406,654.506
3.705,513.939,657.961
3.715,516.951,662.07
3.729,521.48,668.252
3.741,525.22,673.358
3.751,528.275,677.53
3.765,532.864,683.801
3.785,539.142,692.384
3.798,543.49,698.331
3.819,550.012,707.255
3.834,554.79,713.796
3.856,561.933,723.583
3.877,568.432,732.492
# Event BURNOUT occurred at t=3.9 seconds
3.9,575.683,742.439
3.935,586.426,757.19
3.985,601.625,778.087
3.993,604.098,781.492
4.002,606.945,785.41
4.012,609.887,789.461
4.019,611.771,792.057
4.026,613.834,794.898
4.036,616.917,799.146
4.048,620.32,803.839
4.055,622.538,806.898
4.063,624.717,809.903
4.074,627.971,814.394
4.087,631.732,819.586
4.096,634.219,823.019
4.105,636.838,826.637
4.119,640.747,832.038
4.133,644.83,837.684
4.143,647.706,841.662
4.159,651.997,847.6
4.174,656.183,853.395
4.187,659.754,858.341
4.206,665.03,865.654
4.22,668.933,871.067
4.242,674.743,879.13
4.262,680.196,886.703
4.292,688.29,897.953
4.338,700.239,914.586
4.363,706.729,923.633
4.388,712.957,932.322
4.424,722.182,945.208
4.456,730.165,956.374
4.505,741.942,972.873
4.523,746.288,978.97
4.536,749.444,983.401
4.548,752.287,987.393
4.566,756.524,993.348
4.58,759.801,997.957
4.599,764.196,1004.141
4.625,770.288,1012.723
4.664,779.303,1025.438
4.68,782.785,1030.356
4.703,787.967,1037.68
4.726,793.058,1044.883
4.761,800.605,1055.574
4.811,811.364,1070.845
4.856,821.046,1084.617
4.862,822.287,1086.384
4.87,823.953,1088.757
4.882,826.442,1092.305
4.893,828.607,1095.393
4.899,829.969,1097.336
4.906,831.402,1099.382
4.916,833.415,1102.255
4.931,836.419,1106.546
4.94,838.308,1109.247
4.948,839.906,1111.532
4.958,841.876,1114.35
4.973,844.818,1118.561
4.986,847.522,1122.434
4.996,849.419,1125.154
5.009,852.059,1128.939
5.029,855.993,1134.585
5.041,858.276,1137.865
5.056,861.221,1142.097
5.079,865.606,1148.407
5.094,868.466,1152.525
5.116,872.726,1158.667
5.141,877.387,1165.393
5.172,883.221,1173.825
5.208,889.87,1183.453
5.258,898.957,1196.642
5.308,907.897,1209.651
5.348,914.943,1219.931
5.398,923.631,1232.637
5.448,932.186,1245.183
5.498,940.612,1257.577
5.548,948.913,1269.824
5.598,957.094,1281.928
5.648,965.158,1293.896
5.698,973.108,1305.73
5.748,980.948,1317.437
5.798,988.68,1329.018
5.848,996.307,1340.479
5.898,1003.831,1351.823
5.948,1011.256,1363.053
5.998,1018.583,1374.171
