# LaOnRigoleVite (Up to date)
# 740 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (25,7 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,5.166e-4,1.486e-4
0.02,0.006,0.001
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.023,0.005
0.04,0.052,0.01
0.05,0.094,0.018
0.06,0.147,0.028
0.07,0.212,0.04
0.08,0.29,0.054
0.09,0.379,0.07
0.1,0.48,0.089
0.11,0.594,0.109
0.12,0.719,0.132
0.13,0.857,0.157
0.14,1.008,0.184
0.15,1.17,0.213
0.16,1.345,0.244
0.17,1.533,0.278
0.18,1.733,0.314
0.19,1.945,0.351
0.2,2.169,0.392
0.21,2.407,0.434
0.22,2.656,0.478
0.23,2.918,0.525
0.24,3.193,0.574
0.25,3.48,0.625
0.26,3.78,0.678
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,4.093,0.734
0.285,4.584,0.822
0.3,5.105,0.915
0.322,5.938,1.064
0.356,7.307,1.311
0.4,9.294,1.672
0.45,11.861,2.139
0.5,14.741,2.667
0.55,17.934,3.253
0.6,21.437,3.899
0.65,25.251,4.605
0.7,29.373,5.371
0.75,33.802,6.199
0.8,38.534,7.089
0.85,43.566,8.042
0.9,48.893,9.057
0.95,54.51,10.134
1,60.413,11.272
1.05,66.595,12.471
1.1,73.052,13.726
1.15,79.779,15.039
1.2,86.77,16.406
1.25,94.022,17.827
1.3,101.528,19.303
1.35,109.281,20.833
1.4,117.273,22.417
1.45,125.497,24.052
1.5,133.95,25.738
1.55,142.621,27.473
1.6,151.473,29.247
1.62,155.052,29.966
1.64,158.645,30.688
1.66,162.244,31.412
1.67,164.046,31.775
1.68,165.847,32.138
1.69,167.648,32.501
# Event BURNOUT occurred at t=1.7 seconds
1.7,169.447,32.864
1.715,172.142,33.408
1.737,176.174,34.223
1.771,182.2,35.442
1.821,191.077,37.244
1.871,199.896,39.039
1.921,208.657,40.827
1.971,217.361,42.608
2.021,226.008,44.381
2.071,234.599,46.149
2.121,243.133,47.909
2.171,251.612,49.664
# Event STAGE_SEPARATION occurred at t=2.2 seconds
# Event IGNITION occurred at t=2.2 seconds
2.2,256.462,50.67
2.243,263.909,52.219
2.293,273.223,54.16
2.343,283.253,56.255
2.393,294.01,58.508
2.443,305.5,60.919
2.493,317.72,63.49
2.543,330.668,66.218
2.593,344.339,69.104
2.643,358.725,72.147
2.693,373.813,75.343
2.743,389.584,78.689
2.793,406.016,82.181
2.843,423.088,85.815
2.893,440.78,89.585
# Event SIM_WARN occurred at t=2.918 seconds: Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
2.943,459.078,93.49
2.993,477.966,97.526
3.013,485.727,99.186
3.043,497.543,101.715
3.089,515.652,105.594
3.102,521.174,106.778
3.123,529.534,108.57
3.144,538.325,110.456
3.173,550.503,113.071
3.208,565.691,116.334
3.258,587.506,121.025
3.27,592.687,122.14
3.288,600.511,123.825
3.304,608.042,125.447
3.322,615.994,127.16
3.348,628.034,129.755
3.383,643.956,133.189
3.433,667.462,138.263
3.46,680.259,141.027
3.476,687.933,142.686
3.499,699.526,145.193
3.522,710.706,147.611
3.557,727.637,151.276
3.607,752.604,156.685
3.637,767.891,159.999
3.682,791.07,165.028
3.691,795.762,166.046
3.705,802.823,167.579
3.72,810.361,169.215
3.729,815.38,170.306
3.744,822.926,171.946
3.764,833.587,174.263
3.779,841.088,175.893
3.8,852.356,178.344
3.816,860.802,180.182
3.84,873.454,182.936
3.864,885.659,185.593
# Event BURNOUT occurred at t=3.9 seconds
3.9,904.512,189.7
3.936,922.956,193.721
3.986,948.072,199.201
3.997,953.5,200.387
4.006,957.73,201.311
4.011,960.391,201.893
4.016,963.003,202.463
4.023,966.169,203.154
4.032,970.901,204.187
4.047,977.965,205.73
4.053,980.873,206.366
4.059,984.008,207.051
4.069,988.59,208.054
4.083,995.431,209.551
4.091,998.943,210.319
4.098,1002.303,211.054
4.107,1006.887,212.056
4.122,1013.73,213.553
4.13,1017.746,214.433
4.138,1021.572,215.27
4.151,1027.287,216.523
4.169,1035.808,218.39
4.179,1040.289,219.372
4.193,1046.98,220.838
4.213,1056.102,222.838
4.228,1062.509,224.244
4.249,1072.053,226.338
4.265,1079.291,227.927
4.289,1090.064,230.293
4.315,1101.486,232.803
4.354,1118.406,236.524
4.403,1139.114,241.081
4.406,1140.57,241.402
4.41,1142.287,241.781
4.416,1144.759,242.326
4.425,1148.455,243.141
4.432,1151.121,243.729
4.436,1152.812,244.102
4.439,1154.354,244.442
4.443,1155.92,244.787
4.447,1157.665,245.172
4.453,1159.924,245.669
4.461,1163.303,246.414
4.473,1168.353,247.527
4.478,1170.174,247.929
4.482,1171.958,248.322
4.487,1173.936,248.759
4.493,1176.592,249.346
4.503,1180.563,250.223
4.512,1184.342,251.058
4.517,1186.448,251.523
4.523,1188.509,251.978
4.529,1190.909,252.508
4.537,1194.5,253.301
4.551,1199.863,254.485
4.557,1202.367,255.039
4.563,1204.732,255.562
4.57,1207.593,256.195
4.581,1211.87,257.141
4.597,1218.252,258.554
4.604,1221.049,259.173
4.614,1224.594,259.957
4.627,1229.889,261.129
4.638,1234.135,262.069
4.647,1237.402,262.793
4.658,1241.937,263.798
4.676,1248.701,265.298
4.686,1252.575,266.157
4.699,1257.415,267.231
4.718,1264.632,268.832
4.731,1269.435,269.898
4.75,1276.513,271.471
4.776,1285.993,273.578
4.809,1297.89,276.223
4.858,1315.466,280.136
4.876,1322.151,281.626
4.905,1332.091,283.844
4.935,1342.747,286.222
4.981,1358.514,289.745
5.019,1371.148,292.571
5.069,1387.797,296.3
5.116,1403.451,299.811
5.166,1419.571,303.433
5.187,1426.178,304.918
5.218,1436.008,307.13
5.25,1445.832,309.344
5.296,1460.104,312.563
5.346,1475.38,316.014
5.396,1490.442,319.422
5.446,1505.299,322.789
5.496,1519.959,326.117
5.546,1534.428,329.407
5.596,1548.712,332.661
5.646,1562.818,335.879
5.696,1576.75,339.063
5.746,1590.514,342.215
5.796,1604.115,345.335
5.846,1617.558,348.424
5.896,1630.845,351.483
5.946,1643.981,354.513
5.996,1656.971,357.514
6.046,1669.817,360.489
6.096,1682.523,363.436
6.146,1695.092,366.357
6.196,1707.527,369.253
6.246,1719.832,372.124
6.296,1732.008,374.97
6.346,1744.058,377.793
6.396,1755.986,380.593
6.446,1767.793,383.371
6.496,1779.483,386.126
6.546,1791.056,388.86
6.596,1802.515,391.572
6.646,1813.863,394.264
6.696,1825.102,396.936
6.746,1836.233,399.588
6.796,1847.258,402.22
6.846,1858.179,404.834
6.896,1868.998,407.429
6.946,1879.717,410.006
6.996,1890.336,412.565
7.046,1900.859,415.106
7.096,1911.286,417.63
7.146,1921.619,420.137
7.196,1931.859,422.628
7.246,1942.008,425.102
7.296,1952.067,427.561
7.346,1962.037,430.003
7.396,1971.92,432.431
7.446,1981.717,434.843
7.496,1991.429,437.24
7.546,2001.058,439.623
