# LaOnRigoleLongtemps (Up to date)
# 452 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.427e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.012
0.05,0.017,0.025
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.064,0.085
0.082,0.085,0.11
0.092,0.118,0.147
0.102,0.156,0.191
0.112,0.2,0.24
0.122,0.249,0.294
0.132,0.304,0.354
0.143,0.365,0.42
0.15,0.414,0.473
0.16,0.485,0.549
0.17,0.561,0.63
0.18,0.643,0.717
0.19,0.731,0.81
0.2,0.824,0.908
0.21,0.924,1.013
0.22,1.028,1.122
0.23,1.139,1.238
0.24,1.255,1.359
0.25,1.377,1.486
0.26,1.504,1.619
0.27,1.638,1.757
0.28,1.776,1.901
0.29,1.921,2.05
0.3,2.071,2.205
0.31,2.226,2.366
0.32,2.387,2.532
0.33,2.554,2.704
0.34,2.726,2.881
0.35,2.904,3.064
0.365,3.181,3.349
0.388,3.617,3.802
0.421,4.319,4.539
0.471,5.463,5.753
0.5,6.176,6.518
0.543,7.322,7.755
0.593,8.764,9.322
0.643,10.324,11.033
0.693,12.002,12.885
0.743,13.794,14.878
0.793,15.699,17.013
0.843,17.712,19.289
0.893,19.829,21.706
0.943,22.047,24.267
0.993,24.362,26.97
1,24.688,27.353
1.01,25.179,27.933
1.026,25.924,28.814
1.049,27.057,30.161
1.084,28.792,32.24
1.134,31.356,35.348
1.184,34.003,38.598
1.234,36.731,41.988
1.284,39.539,45.517
1.334,42.427,49.179
1.384,45.394,52.973
1.434,48.441,56.895
1.484,51.567,60.942
1.5,52.597,62.28
1.524,54.157,64.312
1.561,56.531,67.414
1.611,59.846,71.772
1.661,63.23,76.251
1.711,66.678,80.851
1.761,70.186,85.572
1.811,73.753,90.412
1.861,77.377,95.37
1.911,81.057,100.441
1.961,84.794,105.623
2,87.764,109.763
2.05,91.601,115.135
2.1,95.491,120.612
2.15,99.432,126.192
2.2,103.42,131.875
2.25,107.451,137.66
2.3,111.524,143.545
2.35,115.638,149.529
2.4,119.792,155.607
2.45,123.986,161.779
2.5,128.22,168.04
2.55,132.492,174.389
2.6,136.798,180.826
2.65,141.136,187.35
2.7,145.503,193.959
2.75,149.9,200.653
2.8,154.325,207.427
2.85,158.778,214.28
2.9,163.258,221.21
2.95,167.763,228.216
3,172.292,235.295
3.05,176.838,242.442
3.1,181.392,249.644
3.15,185.947,256.886
3.2,190.497,264.16
3.25,195.039,271.456
3.3,199.565,278.768
3.35,204.073,286.086
3.4,208.557,293.407
3.45,213.014,300.727
3.5,217.443,308.041
3.55,221.841,315.344
3.6,226.207,322.634
3.65,230.54,329.91
3.7,234.839,337.166
3.75,239.1,344.401
3.8,243.322,351.614
3.85,247.507,358.803
# Event BURNOUT occurred at t=3.9 seconds
3.9,251.652,365.968
3.95,255.759,373.109
4,259.828,380.225
4.05,263.86,387.318
4.1,267.853,394.386
4.15,271.808,401.431
4.2,275.726,408.453
4.25,279.606,415.451
4.3,283.449,422.427
4.35,287.255,429.38
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,291.024,436.31
4.45,294.745,443.196
4.5,298.407,450.016
4.55,302.01,456.773
4.6,305.555,463.468
4.65,309.044,470.102
4.7,312.476,476.676
4.75,315.854,483.192
4.8,319.178,489.65
4.85,322.449,496.052
4.9,325.667,502.399
4.95,328.833,508.692
5,331.948,514.932
5.05,335.013,521.12
5.1,338.029,527.257
5.15,340.995,533.345
5.2,343.913,539.383
5.25,346.784,545.374
5.3,349.607,551.317
5.35,352.385,557.213
5.4,355.116,563.065
5.45,357.802,568.871
5.5,360.443,574.634
5.55,363.04,580.353
5.6,365.594,586.03
5.65,368.104,591.666
5.7,370.572,597.26
5.75,372.998,602.814
5.8,375.382,608.328
5.85,377.724,613.804
5.9,380.026,619.241
5.95,382.288,624.64
6,384.509,630.003
6.05,386.691,635.328
6.1,388.834,640.618
6.15,390.939,645.873
6.2,393.004,651.092
6.25,395.032,656.278
6.3,397.023,661.429
6.35,398.976,666.548
6.4,400.892,671.633
6.45,402.772,676.686
6.5,404.615,681.708
6.55,406.423,686.698
6.6,408.194,691.657
6.65,409.931,696.586
6.7,411.633,701.485
6.75,413.3,706.354
6.8,414.933,711.194
6.85,416.531,716.005
6.9,418.096,720.788
6.95,419.627,725.543
7,421.125,730.271
7.05,422.59,734.971
7.1,424.022,739.644
7.15,425.422,744.291
7.2,426.789,748.911
7.25,428.124,753.506
7.3,429.428,758.075
7.35,430.7,762.619
7.4,431.94,767.139
7.45,433.15,771.634
7.5,434.328,776.104
7.55,435.476,780.551
7.6,436.594,784.974
7.65,437.681,789.373
7.7,438.738,793.75
7.75,439.765,798.104
7.8,440.762,802.435
7.85,441.73,806.744
7.9,442.669,811.031
7.95,443.578,815.296
8,444.458,819.54
8.05,445.31,823.763
8.1,446.133,827.965
8.15,446.928,832.146
8.2,447.694,836.306
8.25,448.432,840.446
8.3,449.142,844.566
8.35,449.825,848.666
8.4,450.479,852.747
8.45,451.106,856.808
8.5,451.706,860.85
8.55,452.279,864.873
8.6,452.824,868.877
8.65,453.343,872.862
8.7,453.835,876.829
8.75,454.3,880.778
8.8,454.739,884.709
8.85,455.151,888.621
8.9,455.537,892.516
8.95,455.897,896.394
9,456.231,900.254
9.05,456.539,904.097
9.1,456.821,907.923
9.15,457.078,911.732
9.2,457.309,915.525
9.25,457.514,919.3
9.3,457.695,923.06
9.35,457.85,926.803
9.4,457.98,930.53
9.45,458.086,934.241
9.5,458.166,937.937
9.55,458.222,941.616
9.6,458.253,945.28
# Event APOGEE occurred at t=9.65 seconds
9.65,458.259,948.929
9.7,458.241,952.562
9.75,458.199,956.18
9.8,458.133,959.784
9.85,458.042,963.372
9.9,457.928,966.945
9.95,457.789,970.504
10,457.627,974.048
10.05,457.441,977.578
10.1,457.232,981.094
10.15,456.998,984.595
10.2,456.742,988.082
10.25,456.462,991.556
10.3,456.159,995.015
10.35,455.832,998.461
10.4,455.483,1001.893
10.45,455.11,1005.311
10.5,454.715,1008.716
10.55,454.297,1012.107
10.6,453.856,1015.485
10.65,453.392,1018.85
10.7,452.906,1022.202
10.75,452.397,1025.541
10.8,451.866,1028.867
10.85,451.312,1032.18
10.9,450.736,1035.481
10.95,450.138,1038.768
11,449.518,1042.043
11.05,448.876,1045.306
11.1,448.212,1048.556
11.15,447.527,1051.794
11.2,446.819,1055.019
11.25,446.09,1058.233
11.3,445.339,1061.434
11.35,444.566,1064.623
11.4,443.772,1067.8
11.45,442.957,1070.965
11.5,442.12,1074.118
11.55,441.262,1077.26
11.6,440.383,1080.389
11.65,439.482,1083.507
11.7,438.561,1086.614
11.75,437.619,1089.709
11.8,436.656,1092.792
11.85,435.672,1095.864
11.9,434.667,1098.925
11.95,433.641,1101.974
12,432.595,1105.012
12.05,431.529,1108.039
12.1,430.442,1111.055
12.15,429.334,1114.059
12.2,428.207,1117.053
12.25,427.059,1120.036
12.3,425.89,1123.007
12.35,424.702,1125.968
12.4,423.494,1128.918
12.45,422.266,1131.857
12.5,421.017,1134.785
12.55,419.749,1137.703
12.6,418.462,1140.61
12.65,417.154,1143.507
12.7,415.827,1146.392
12.75,414.48,1149.268
12.8,413.114,1152.132
12.85,411.729,1154.987
12.9,410.324,1157.831
