# LaOnRigoleLongtemps (Up to date)
# 394 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.729e-4,2.69e-4
0.03,0.004,0.001
0.04,0.012,0.003
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.079,0.017
0.075,0.097,0.02
0.082,0.127,0.026
0.092,0.174,0.035
0.102,0.229,0.046
0.112,0.291,0.057
0.122,0.36,0.07
0.132,0.437,0.084
0.143,0.521,0.1
0.15,0.59,0.113
0.16,0.687,0.131
0.17,0.793,0.15
0.18,0.906,0.171
0.19,1.027,0.193
0.2,1.155,0.216
0.21,1.292,0.241
0.22,1.435,0.267
0.23,1.587,0.294
0.24,1.746,0.323
0.25,1.913,0.353
0.26,2.087,0.385
0.27,2.269,0.417
0.28,2.459,0.452
0.29,2.656,0.487
0.3,2.86,0.524
0.31,3.073,0.562
0.32,3.292,0.601
0.33,3.519,0.642
0.34,3.754,0.684
0.35,3.996,0.728
0.365,4.373,0.795
0.388,4.97,0.903
0.421,5.935,1.079
0.471,7.517,1.37
0.5,8.508,1.553
0.543,10.106,1.85
0.593,12.123,2.227
0.643,14.316,2.639
0.693,16.681,3.086
0.743,19.218,3.568
0.793,21.923,4.085
0.843,24.795,4.636
0.893,27.832,5.223
0.943,31.03,5.846
0.993,34.389,6.505
1,34.863,6.599
1.01,35.58,6.74
1.026,36.668,6.955
1.049,38.327,7.285
1.084,40.879,7.794
1.134,44.674,8.557
1.184,48.62,9.358
1.234,52.713,10.195
1.284,56.951,11.068
1.334,61.332,11.977
1.384,65.854,12.92
1.434,70.513,13.896
1.484,75.307,14.905
1.5,76.89,15.239
1.524,79.291,15.746
1.561,82.95,16.521
1.611,88.077,17.61
1.661,93.33,18.73
1.711,98.706,19.883
1.761,104.204,21.067
1.811,109.82,22.283
1.861,115.552,23.53
1.911,121.398,24.809
1.961,127.354,26.118
2,132.101,27.164
2.05,138.25,28.524
2.1,144.504,29.911
2.15,150.86,31.325
2.2,157.315,32.767
2.25,163.868,34.236
2.3,170.515,35.733
2.35,177.255,37.257
2.4,184.085,38.807
2.45,191.002,40.383
2.5,198.006,41.984
2.55,205.092,43.608
2.6,212.26,45.257
2.65,219.507,46.929
2.7,226.831,48.624
2.75,234.23,50.343
2.8,241.702,52.085
2.85,249.245,53.85
2.9,256.856,55.636
2.95,264.535,57.444
3,272.277,59.271
3.05,280.076,61.118
3.1,287.916,62.98
3.15,295.782,64.855
3.2,303.663,66.739
3.25,311.55,68.631
3.3,319.434,70.527
3.35,327.305,72.426
3.4,335.159,74.327
3.45,342.99,76.228
3.5,350.793,78.128
3.55,358.564,80.026
3.6,366.301,81.922
3.65,374,83.815
3.7,381.658,85.704
3.75,389.271,87.587
3.8,396.838,89.465
3.85,404.359,91.337
# Event BURNOUT occurred at t=3.9 seconds
3.9,411.832,93.204
3.95,419.258,95.065
4,426.637,96.92
4.05,433.968,98.769
4.1,441.253,100.613
4.15,448.492,102.451
4.2,455.684,104.284
4.25,462.831,106.111
4.3,469.932,107.932
4.35,476.988,109.748
# Event SIM_WARN occurred at t=4.4 seconds: Open forward airframe (diameter > 0):  "Transition"
# Event STAGE_SEPARATION occurred at t=4.4 seconds
4.4,483.999,111.559
4.45,490.946,113.36
4.5,497.809,115.145
4.55,504.591,116.916
4.6,511.294,118.672
4.65,517.917,120.413
4.7,524.463,122.141
4.75,530.933,123.855
4.8,537.329,125.555
4.85,543.65,127.243
4.9,549.9,128.917
4.95,556.078,130.579
5,562.185,132.229
5.05,568.224,133.866
5.1,574.195,135.492
5.15,580.098,137.106
5.2,585.936,138.708
5.25,591.708,140.3
5.3,597.417,141.88
5.35,603.062,143.449
5.4,608.645,145.008
5.45,614.166,146.557
5.5,619.627,148.095
5.55,625.028,149.624
5.6,630.369,151.142
5.65,635.653,152.651
5.7,640.879,154.15
5.75,646.048,155.64
5.8,651.162,157.121
5.85,656.219,158.593
5.9,661.223,160.056
5.95,666.172,161.51
6,671.068,162.956
6.05,675.911,164.393
6.1,680.702,165.822
6.15,685.442,167.243
6.2,690.13,168.656
6.25,694.768,170.061
6.3,699.357,171.459
6.35,703.896,172.848
6.4,708.387,174.231
6.45,712.83,175.606
6.5,717.224,176.974
6.55,721.572,178.334
6.6,725.873,179.688
6.65,730.128,181.035
6.7,734.337,182.375
6.75,738.501,183.708
6.8,742.621,185.035
6.85,746.695,186.355
6.9,750.726,187.669
6.95,754.714,188.977
7,758.658,190.279
7.05,762.559,191.574
7.1,766.419,192.864
7.15,770.236,194.147
7.2,774.012,195.425
7.25,777.747,196.697
7.3,781.441,197.964
7.35,785.094,199.225
7.4,788.707,200.48
7.45,792.281,201.731
7.5,795.815,202.975
7.55,799.31,204.215
7.6,802.766,205.45
7.65,806.184,206.679
7.7,809.564,207.904
7.75,812.905,209.123
7.8,816.21,210.338
7.85,819.476,211.548
7.9,822.706,212.753
7.95,825.9,213.954
8,829.056,215.15
8.05,832.177,216.342
8.1,835.262,217.529
8.15,838.311,218.712
8.2,841.324,219.89
8.25,844.303,221.064
8.3,847.246,222.235
8.35,850.155,223.401
8.4,853.029,224.563
8.45,855.87,225.72
8.5,858.676,226.874
8.55,861.448,228.025
8.6,864.187,229.171
8.65,866.893,230.313
8.7,869.565,231.452
8.75,872.204,232.587
8.8,874.811,233.719
8.85,877.385,234.847
8.9,879.927,235.971
8.95,882.437,237.092
9,884.915,238.209
9.05,887.361,239.324
9.1,889.775,240.434
9.15,892.158,241.542
9.2,894.509,242.646
9.25,896.83,243.747
9.3,899.12,244.845
9.35,901.378,245.94
9.4,903.607,247.032
9.45,905.805,248.121
9.5,907.972,249.207
9.55,910.109,250.29
9.6,912.217,251.37
9.65,914.294,252.447
9.7,916.342,253.521
9.75,918.36,254.593
9.8,920.349,255.662
9.85,922.309,256.728
9.9,924.239,257.791
9.95,926.14,258.852
10,928.013,259.911
10.05,929.856,260.967
10.1,931.671,262.02
10.15,933.458,263.071
10.2,935.216,264.119
10.25,936.945,265.165
10.3,938.647,266.208
10.35,940.32,267.25
10.4,941.966,268.289
10.45,943.583,269.325
10.5,945.173,270.36
10.55,946.735,271.392
10.6,948.27,272.422
10.65,949.777,273.449
10.7,951.257,274.475
10.75,952.709,275.499
10.8,954.134,276.52
10.85,955.533,277.539
10.9,956.904,278.557
10.95,958.248,279.572
11,959.566,280.586
11.05,960.857,281.597
11.1,962.121,282.607
11.15,963.358,283.614
11.2,964.57,284.62
11.25,965.754,285.624
11.3,966.913,286.626
11.35,968.045,287.626
11.4,969.151,288.625
11.45,970.231,289.621
11.5,971.285,290.616
11.55,972.313,291.609
11.6,973.315,292.601
11.65,974.291,293.591
11.7,975.241,294.579
11.75,976.166,295.565
11.8,977.065,296.55
11.85,977.939,297.533
11.9,978.787,298.515
11.95,979.61,299.495
12,980.408,300.474
12.05,981.18,301.45
12.1,981.927,302.426
12.15,982.648,303.4
12.2,983.345,304.372
12.25,984.016,305.343
12.3,984.663,306.312
12.35,985.285,307.28
12.4,985.881,308.247
12.45,986.453,309.212
12.5,987,310.176
12.55,987.523,311.138
12.6,988.021,312.099
12.65,988.494,313.058
12.7,988.943,314.016
12.75,989.367,314.973
12.8,989.766,315.929
12.85,990.142,316.883
12.9,990.493,317.836
12.95,990.819,318.787
13,991.122,319.738
13.05,991.4,320.687
13.1,991.654,321.634
