# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,4.427e-4,0.001
0.03,0.003,0.005
0.04,0.008,0.012
0.05,0.017,0.025
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.032,0.045
0.07,0.052,0.07
0.075,0.064,0.085
0.082,0.085,0.11
0.092,0.118,0.147
0.102,0.156,0.191
0.112,0.2,0.24
0.122,0.249,0.294
0.132,0.304,0.354
0.143,0.365,0.42
0.15,0.414,0.473
0.16,0.485,0.549
0.17,0.561,0.63
0.18,0.643,0.717
0.19,0.731,0.81
0.2,0.824,0.908
0.21,0.924,1.013
0.22,1.028,1.122
0.23,1.139,1.238
0.24,1.255,1.359
0.25,1.377,1.486
0.26,1.504,1.619
0.27,1.638,1.757
0.28,1.776,1.901
0.29,1.921,2.05
0.3,2.071,2.205
0.31,2.226,2.366
0.32,2.387,2.532
0.33,2.554,2.704
0.34,2.726,2.881
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,2.904,3.064
0.365,3.181,3.349
0.388,3.617,3.802
0.421,4.319,4.539
0.471,5.463,5.753
0.5,6.176,6.518
0.543,7.322,7.755
0.593,8.764,9.322
0.643,10.324,11.033
0.693,12.002,12.885
0.743,13.794,14.878
0.793,15.699,17.013
0.843,17.712,19.289
0.893,19.829,21.706
0.943,22.047,24.267
0.993,24.362,26.97
1,24.688,27.353
1.01,25.179,27.933
1.026,25.924,28.814
1.049,27.057,30.161
1.084,28.792,32.24
1.134,31.356,35.348
1.184,34.003,38.598
1.234,36.731,41.988
1.284,39.539,45.517
1.334,42.427,49.179
1.384,45.394,52.973
1.434,48.441,56.895
1.484,51.567,60.942
1.5,52.597,62.28
1.524,54.157,64.312
1.561,56.531,67.414
1.611,59.846,71.772
1.661,63.23,76.251
1.711,66.678,80.851
1.761,70.186,85.572
1.811,73.753,90.412
1.861,77.377,95.37
1.911,81.057,100.441
1.961,84.794,105.623
2,87.764,109.763
2.05,91.601,115.135
2.1,95.491,120.612
2.15,99.432,126.192
2.2,103.42,131.875
2.25,107.451,137.66
2.3,111.524,143.545
2.35,115.638,149.529
2.4,119.792,155.607
2.45,123.986,161.779
2.5,128.22,168.04
2.55,132.492,174.389
2.6,136.798,180.826
2.65,141.136,187.35
2.7,145.503,193.959
2.75,149.9,200.653
2.8,154.325,207.427
2.85,158.778,214.28
2.9,163.258,221.21
2.95,167.763,228.216
3,172.292,235.295
3.05,176.838,242.442
3.1,181.392,249.644
3.15,185.947,256.886
3.2,190.497,264.16
3.25,195.039,271.456
3.3,199.565,278.768
3.35,204.073,286.086
3.4,208.557,293.407
3.45,213.014,300.727
3.5,217.443,308.041
3.55,221.841,315.344
3.6,226.207,322.634
3.65,230.54,329.91
3.7,234.839,337.166
3.75,239.1,344.401
3.8,243.322,351.614
3.85,247.507,358.803
# Event BURNOUT occurred at t=3.9 seconds
3.9,251.652,365.968
3.95,255.759,373.109
4,259.828,380.225
4.05,263.86,387.318
4.1,267.853,394.386
4.15,271.808,401.431
4.2,275.726,408.453
4.25,279.606,415.451
4.3,283.449,422.427
4.35,287.255,429.38
# Event STAGE_SEPARATION occurred at t=4.4 seconds
# Event IGNITION occurred at t=4.4 seconds
4.4,291.024,436.31
4.45,294.8,443.296
4.5,298.748,450.65
4.55,302.898,458.426
4.6,307.253,466.633
4.65,311.811,475.271
4.7,316.568,484.335
4.75,321.521,493.819
4.8,326.664,503.715
4.85,331.992,514.016
4.9,337.501,524.714
4.95,343.185,535.8
5,349.039,547.268
5.05,355.058,559.107
5.1,361.236,571.309
5.15,367.569,583.864
5.2,374.05,596.763
5.25,380.673,609.994
5.3,387.432,623.548
5.35,394.321,637.412
5.4,401.334,651.574
5.45,408.464,666.021
5.5,415.702,680.741
5.55,423.043,695.718
5.6,430.477,710.937
5.65,437.999,726.385
5.673,441.556,733.709
5.709,446.925,744.782
5.759,454.613,760.683
5.786,458.888,769.548
5.817,463.745,779.637
5.864,471.076,794.902
5.888,474.74,802.549
5.923,480.258,814.086
5.973,488.202,830.739
# Event SIM_WARN occurred at t=6.023 seconds: Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
6.023,496.193,847.544
6.028,497.044,849.336
6.036,498.322,852.026
6.047,500.091,855.753
6.051,500.763,857.171
6.055,501.378,858.468
6.059,501.996,859.773
6.063,502.675,861.206
6.068,503.522,862.995
6.076,504.793,865.682
6.088,506.702,869.719
6.093,507.507,871.421
6.097,508.217,872.924
6.102,508.942,874.456
6.107,509.771,876.212
6.114,510.949,878.704
6.125,512.717,882.447
6.133,513.942,885.043
6.138,514.789,886.838
6.143,515.616,888.592
6.149,516.561,890.599
6.158,517.981,893.613
6.171,520.111,898.142
6.177,521.207,900.47
6.183,522.151,902.478
6.19,523.208,904.725
6.199,524.794,908.098
6.214,527.174,913.166
6.221,528.351,915.674
6.228,529.479,918.079
6.237,530.971,921.263
6.251,533.212,926.046
6.261,534.807,929.455
6.269,536.102,932.221
6.279,537.81,935.872
6.295,540.373,941.356
6.305,542.023,944.888
6.315,543.656,948.389
6.33,546.108,953.649
6.346,548.763,959.347
6.358,550.733,963.577
6.376,553.689,969.933
6.39,556.061,975.039
6.407,558.902,981.159
6.433,563.168,990.361
6.47,569.293,1003.598
6.493,573.132,1011.908
6.528,578.895,1024.406
6.567,585.271,1038.263
6.617,593.573,1056.349
6.621,594.262,1057.854
6.627,595.295,1060.111
6.636,596.845,1063.499
6.641,597.592,1065.133
6.644,598.187,1066.433
6.648,598.742,1067.645
6.651,599.303,1068.872
6.655,599.922,1070.225
6.659,600.684,1071.892
6.666,601.829,1074.395
6.677,603.545,1078.151
6.681,604.33,1079.87
6.685,604.989,1081.314
6.689,605.631,1082.721
6.693,606.329,1084.25
6.699,607.203,1086.168
6.707,608.515,1089.046
6.718,610.483,1093.367
6.723,611.28,1095.117
6.728,612.024,1096.753
6.732,612.83,1098.522
6.739,613.879,1100.827
6.748,615.453,1104.285
6.758,617.087,1107.878
6.763,617.972,1109.826
6.769,618.843,1111.745
6.775,619.879,1114.027
6.784,621.433,1117.453
6.798,623.764,1122.594
6.804,624.766,1124.804
6.811,625.837,1127.166
6.82,627.415,1130.649
6.834,629.781,1135.877
6.842,631.006,1138.585
6.849,632.224,1141.279
6.86,634.051,1145.323
6.877,636.79,1151.393
6.885,638.173,1154.458
6.896,639.958,1158.414
6.912,642.633,1164.351
6.922,644.347,1168.158
6.934,646.298,1172.497
6.951,649.225,1179.009
6.963,651.218,1183.446
6.981,654.177,1190.039
7.004,657.904,1198.356
7.035,663.005,1209.756
7.081,670.648,1226.876
7.093,672.693,1231.465
7.112,675.759,1238.35
7.124,677.804,1242.947
7.143,680.87,1249.845
7.161,683.827,1256.506
7.187,688.123,1266.195
7.219,693.406,1278.131
7.267,701.315,1296.045
7.276,702.827,1299.474
7.29,705.093,1304.618
7.302,707.015,1308.984
7.311,708.622,1312.637
7.326,711.03,1318.116
7.341,713.503,1323.749
7.354,715.582,1328.486
7.373,718.696,1335.59
7.387,720.998,1340.846
7.408,724.446,1348.728
7.429,727.795,1356.394
7.46,732.804,1367.877
7.506,740.275,1385.043
7.556,748.259,1403.435
7.559,748.655,1404.352
7.561,749.051,1405.268
7.565,749.575,1406.48
7.57,750.36,1408.298
7.572,750.801,1409.318
7.575,751.196,1410.232
