# LaOnRigoleLongtemps (Up to date)
# 832 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,8.729e-4,2.69e-4
0.03,0.004,0.001
0.04,0.012,0.003
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.027,0.006
0.06,0.049,0.011
0.07,0.079,0.017
0.075,0.097,0.02
0.082,0.127,0.026
0.092,0.174,0.035
0.102,0.229,0.046
0.112,0.291,0.057
0.122,0.36,0.07
0.132,0.437,0.084
0.143,0.521,0.1
0.15,0.59,0.113
0.16,0.687,0.131
0.17,0.793,0.15
0.18,0.906,0.171
0.19,1.027,0.193
0.2,1.155,0.216
0.21,1.292,0.241
0.22,1.435,0.267
0.23,1.587,0.294
0.24,1.746,0.323
0.25,1.913,0.353
0.26,2.087,0.385
0.27,2.269,0.417
0.28,2.459,0.452
0.29,2.656,0.487
0.3,2.86,0.524
0.31,3.073,0.562
0.32,3.292,0.601
0.33,3.519,0.642
0.34,3.754,0.684
# Event LAUNCHROD occurred at t=0.35 seconds
0.35,3.996,0.728
0.365,4.373,0.795
0.388,4.97,0.903
0.421,5.935,1.079
0.471,7.517,1.37
0.5,8.508,1.553
0.543,10.106,1.85
0.593,12.123,2.227
0.643,14.316,2.639
0.693,16.681,3.086
0.743,19.218,3.568
0.793,21.923,4.085
0.843,24.795,4.636
0.893,27.832,5.223
0.943,31.03,5.846
0.993,34.389,6.505
1,34.863,6.599
1.01,35.58,6.74
1.026,36.668,6.955
1.049,38.327,7.285
1.084,40.879,7.794
1.134,44.674,8.557
1.184,48.62,9.358
1.234,52.713,10.195
1.284,56.951,11.068
1.334,61.332,11.977
1.384,65.854,12.92
1.434,70.513,13.896
1.484,75.307,14.905
1.5,76.89,15.239
1.524,79.291,15.746
1.561,82.95,16.521
1.611,88.077,17.61
1.661,93.33,18.73
1.711,98.706,19.883
1.761,104.204,21.067
1.811,109.82,22.283
1.861,115.552,23.53
1.911,121.398,24.809
1.961,127.354,26.118
2,132.101,27.164
2.05,138.25,28.524
2.1,144.504,29.911
2.15,150.86,31.325
2.2,157.315,32.767
2.25,163.868,34.236
2.3,170.515,35.733
2.35,177.255,37.257
2.4,184.085,38.807
2.45,191.002,40.383
2.5,198.006,41.984
2.55,205.092,43.608
2.6,212.26,45.257
2.65,219.507,46.929
2.7,226.831,48.624
2.75,234.23,50.343
2.8,241.702,52.085
2.85,249.245,53.85
2.9,256.856,55.636
2.95,264.535,57.444
3,272.277,59.271
3.05,280.076,61.118
3.1,287.916,62.98
3.15,295.782,64.855
3.2,303.663,66.739
3.25,311.55,68.631
3.3,319.434,70.527
3.35,327.305,72.426
3.4,335.159,74.327
3.45,342.99,76.228
3.5,350.793,78.128
3.55,358.564,80.026
3.6,366.301,81.922
3.65,374,83.815
3.7,381.658,85.704
3.75,389.271,87.587
3.8,396.838,89.465
3.85,404.359,91.337
# Event BURNOUT occurred at t=3.9 seconds
3.9,411.832,93.204
3.95,419.258,95.065
4,426.637,96.92
4.05,433.968,98.769
4.1,441.253,100.613
4.15,448.492,102.451
4.2,455.684,104.284
4.25,462.831,106.111
4.3,469.932,107.932
4.35,476.988,109.748
# Event STAGE_SEPARATION occurred at t=4.4 seconds
# Event IGNITION occurred at t=4.4 seconds
4.4,483.999,111.559
4.45,491.053,113.388
4.5,498.491,115.322
4.55,506.376,117.38
4.6,514.715,119.562
4.65,523.509,121.87
4.7,532.753,124.302
4.75,542.439,126.858
4.8,552.561,129.535
4.85,563.11,132.331
4.9,574.077,135.245
4.95,585.455,138.275
5,597.235,141.418
5.05,609.408,144.673
5.1,621.964,148.037
5.15,634.896,151.508
5.2,648.192,155.083
5.25,661.842,158.76
5.3,675.836,162.537
5.35,690.162,166.409
5.4,704.809,170.375
5.45,719.764,174.431
5.5,735.014,178.574
5.55,750.545,182.799
5.6,766.342,187.104
5.65,782.391,191.484
5.7,798.675,195.934
5.75,815.181,200.452
5.78,825.158,203.186
5.825,840.259,207.329
5.875,857.265,212
5.884,860.247,212.82
5.894,863.975,213.846
5.911,869.583,215.389
5.923,873.827,216.557
5.933,877.354,217.527
5.948,882.658,218.987
5.963,887.553,220.336
5.974,891.591,221.449
5.988,896.516,222.808
6.007,903.083,224.619
6.021,907.897,225.947
6.039,914.273,227.707
6.058,920.948,229.551
6.074,926.794,231.167
6.099,935.591,233.599
# Event SIM_WARN occurred at t=6.121 seconds: Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
6.121,943.371,235.752
6.153,955.09,238.996
6.203,972.773,243.898
6.219,978.574,245.507
6.243,987.298,247.929
6.264,995.041,250.079
6.296,1006.694,253.318
6.344,1024.259,258.205
6.361,1030.657,259.987
6.387,1040.277,262.667
6.415,1050.87,265.62
6.458,1066.817,270.071
6.508,1085.502,275.292
6.512,1086.927,275.69
6.517,1088.632,276.167
6.523,1091.178,276.879
6.531,1094.141,277.707
6.538,1096.486,278.363
6.542,1098.19,278.84
6.546,1099.711,279.266
6.55,1101.234,279.692
6.555,1102.938,280.17
6.561,1105.173,280.796
6.57,1108.529,281.736
6.577,1111.286,282.508
6.582,1113.36,283.088
6.587,1115.112,283.579
6.592,1116.876,284.073
6.597,1118.919,284.645
6.605,1121.985,285.504
6.615,1125.715,286.55
6.623,1128.486,287.327
6.628,1130.508,287.894
6.633,1132.55,288.467
6.64,1135.019,289.16
6.65,1138.725,290.2
6.659,1142.418,291.236
6.666,1144.988,291.958
6.672,1147.265,292.596
6.679,1149.9,293.336
6.689,1153.856,294.447
6.701,1158.108,295.641
6.708,1160.926,296.433
6.715,1163.585,297.181
6.724,1167.112,298.173
6.738,1172.407,299.662
6.748,1176.072,300.692
6.756,1179.146,301.557
6.767,1183.438,302.764
6.783,1189.623,304.505
6.793,1193.255,305.528
6.804,1197.358,306.684
6.82,1203.517,308.42
6.832,1208.246,309.752
6.844,1212.924,311.071
6.862,1219.946,313.051
6.876,1225.224,314.541
6.895,1232.322,316.545
6.92,1241.98,319.272
6.957,1256.486,323.372
6.976,1263.636,325.395
7.004,1274.371,328.433
7.046,1290.493,332.999
7.068,1299.089,335.436
7.099,1311.335,338.91
7.147,1329.721,344.131
7.159,1334.498,345.488
7.178,1341.666,347.525
7.191,1346.787,348.982
7.211,1354.47,351.168
7.232,1362.894,353.566
7.265,1375.533,357.166
7.314,1394.501,362.574
7.33,1400.935,364.41
7.341,1405.025,365.578
7.349,1408.272,366.505
7.362,1413.129,367.891
7.374,1417.789,369.223
7.384,1421.714,370.344
7.394,1425.926,371.549
7.411,1432.243,373.355
7.423,1437.138,374.755
7.437,1442.294,376.23
7.455,1449.294,378.233
7.468,1454.596,379.752
7.489,1462.537,382.027
7.509,1470.482,384.304
7.54,1482.361,387.71
7.587,1500.079,392.797
7.601,1505.58,394.377
7.623,1513.804,396.741
7.641,1520.766,398.743
7.669,1531.161,401.734
7.71,1546.634,406.19
7.731,1554.218,408.376
7.761,1565.522,411.636
7.807,1582.312,416.484
7.824,1588.214,418.189
7.848,1597.017,420.734
7.873,1605.931,423.313
7.91,1619.182,427.149
7.951,1633.262,431.23
7.988,1646.235,434.995
8.037,1662.752,439.794
8.051,1667.74,441.244
8.065,1672.504,442.629
8.087,1679.61,444.697
8.105,1685.85,446.514
8.13,1693.97,448.881
8.155,1702.255,451.296
